debate_media,coverage_media,debate_start_second,coverage_start_second,duration,match_url,transcript
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,1170.1,7099.7,3.4,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/7099.7/end/7103.1,">> I WILL BRING --"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,1325.2,5463.3,3,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/5463.3/end/5466.3,"STANDARD OF TRADE DEALS. SAID IT WAS THE FINEST DEAL YOU'VE EVER SEEN."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,2010.4,5440.8,7.1,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/5440.8/end/5447.9,"THIS COUNTRY THAT HAS TO BE TAKEN CARE OF. I WILL RELEASE MY TAX RETURNS AGAINST MY LAWYER'S WISHES."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,2197,5450,6.5,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/5450/end/5456.5,"YOUR E-MAILS. YOU WANT TO RESPOND TO THAT? >> I DO. YOU KNOW, I MADE A MISTAKE USING A PRIVATE E-MAIL."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,3090.3,5491.2,3.9,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/5491.2/end/5495.1,"STOP AND FRISK WAS FOUND TO BE"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,3540.8,5504.8,9.6,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/5504.8/end/5514.4,"THEIR POLITICIANS HAVE DONE. >> MR. TRUMP -- >> I THINK DONALD JUST CRITICIZED ME FOR PREPARING FOR THIS DEBATE."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,4919.5,5378.1,18.9,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/5378.1/end/5397,">> I HAVE MUCH BETTER JUDGMENT THAN SHE DOES. THERE'S NO QUESTION ABOUT THAT. I ALSO HAVE A MUCH BETTER TEMPERAMENT THAN SHE HAS. YOU KNOW? I HAVE A MUCH BETTER -- SHE SPENT, LET ME TELL YOU, SHE SPENT HUNDREDS OF MILLIONS OF DOLLARS ON AN ADVERTISING -- YOU KNOW, THEY GET MADISON AVENUE INTO A ROOM, THEY PUT NAMES -- OH,"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WISN_20160927_070200_World_News_Now,5694.9,5517.9,5.2,https://archive.org/details/WISN_20160927_070200_World_News_Now#start/5517.9/end/5523.1,"ALMOST CAN'T NAME A GOOD DEAL. I AGREE, SHE'S GOT EXPERIENCE, BUT IT'S BAD EXPERIENCE. AND THIS COUNTRY CAN'T"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WFTS_20160927_063500_World_News_Now,680.2,3322.6,5.6,https://archive.org/details/WFTS_20160927_063500_World_News_Now#start/3322.6/end/3328.2,"THE BIGGEST TAX CUTS FOR THE TOP PERCENTS OF THE PEOPLE IN THIS"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,WFTS_20160927_063500_World_News_Now,704.6,4123.2,6,https://archive.org/details/WFTS_20160927_063500_World_News_Now#start/4123.2/end/4129.2,"YOU KNOW, DONALD WAS VERY FORTUNATE IN HIS LIFE AND THAT'S ALL TO HIS BENEFIT."
