start_second,duration,coverage_count,programs,match_url,transcript
430,2,1,CNNW_20160927_023000_Debate_Night_in_America,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/430/end/432,"NEW JOBS WILL COME FROM SMALL BUSINESS. WE ALSO HAVE TO MAKE"
432,6,2,"CNNW_20160927_023000_Debate_Night_in_America, WPVI_20160927_110000_Good_Morning_America",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/432/end/438,"WE ALSO HAVE TO MAKE THE ECONOMY FAIRER. THAT STARTS WITH RAISING THE NATIONAL MINIMUM WAGE AND ALSO"
493,5,1,FOXNEWSW_20160927_030000_The_Kelly_File,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/493/end/498,"TALKING ABOUT THE IMPORTANT ISSUES FACING OUR COUNTRY. YOU HAVE TO JUDGE US. WHO CAN SHOULDER THE"
587,7,1,WCAU_20160927_030000_NBC10_News_at_11pm,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/587/end/594,"TO DO, BUT PERHAPS WE'LL BE TALKING ABOUT THAT LATER. BUT WE HAVE TO STOP OUR JOBS FROM BEING STOLEN FROM US."
615,10,1,KYW_20160927_110000_CBS_This_Morning,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/615/end/625,"HAPPEN. UNDER MY PLAN, I'LL BE REDUCING TAXES TREMENDOUSLY FROM 35% TO 15% FOR COMPANIES, SMALL AND BIG"
629,11,1,CNNW_20160927_023000_Debate_Night_in_America,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/629/end/640,"HAVEN'T SEEN SINCE RONALD REAGAN. IT'S GOING TO BE A BEAUTIFUL THING TO WATCH. COMPANIES WILL COME. THEY WILL BUILD. THEY WILL EXPAND. NEW COMPANIES WILL START. AND I LOOK VERY, VERY MUCH FORWARD TO DOING IT."
640,3,2,"CNNW_20160927_023000_Debate_Night_in_America, WPVI_20160927_110000_Good_Morning_America",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/640/end/643,"MUCH FORWARD TO DOING IT. WE HAVE TO RENEGOTIATE OUR TRADE DEALS AND WE"
643,1,1,WPVI_20160927_110000_Good_Morning_America,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/643/end/644,"OUR TRADE DEALS AND WE HAVE TO STOP THESE"
666,4,2,"MSNBCW_20160927_100000_Morning_Joe, KYW_20160927_030000_Eyewitness_News_at_11",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/666/end/670,"NOT JUST FINANCIAL TRANSACTIONS. AND THE KIND OF PLAN"
670,2,1,KYW_20160927_030000_Eyewitness_News_at_11,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/670/end/672,"THAT DONALD HAS PUT FORTH WOULD BE"
