debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KUSA_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate,KUSA,NBC,Denver,local,NBC_News_Special_2016_Vice_Presidential_Debate,"10/16/2016 02:48:05",4053.2,6485.2,25,https://archive.org/details/KUSA_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate#start/6485.2/end/6510.2,"PAYMENT -- >> SIX TIMES TONIGHT I HAVE SAID TO GOVERNOR PENCE I CAN'T IMAGINE HOW YOU CAN DEFEND YOUR RUNNING MATE'S POSITION ON ONE ISSUE AFTER THE NEXT. IN ALL SIX CASES HE'S REFUSED TO DEFEND -- >> DON'T PUT WORDS IN MY MOUTH. >> THEN YET HE IS ASKING EVERYBODY TO VOTE FOR SOMEBODY THAT HE CANNOT DEFEND. I JUST THINK THAT SHOULD BE UNDERLINED."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KUSA_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate,KUSA,NBC,Denver,local,NBC_News_Special_2016_Vice_Presidential_Debate,"10/16/2016 02:35:00",5712.3,5700.6,44.7,https://archive.org/details/KUSA_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate#start/5700.6/end/5745.3,"INGENERAL KNEW TEE TO FIGHT FORWARD. WHEN DONALD TRUMP BECOMES PRESIDENT OF THE UNITED STATES WE'LL HAVE A STRONGER AMERICA. WHEN YOU HEAR HIM SAY HE WANTS TO MAKE AMERICA GREAT AGAIN, WHEN WE DO THAT, I TRULY DO BELIEVE THE AMERICAN PEOPLE ARE GOING TO BE STANDING TALL. THEY'RE GOING TO SEE THAT REAL CHANGE CAN HAPPEN AFTER DECADES OF JUST TALKING ABOUT IT. AND WHEN THAT HAPPENS, THE AMERICAN PEOPLE ARE GOING TO STAND TALL, STAND TOGETHER AND WE'LL HAVE THE KIND OF UNITY THAT'S BEEN MISSING FOR WAY TOO LONG. >> ALL RIGHT, GENTLEMEN, THANK YOU SO MUCH. THIS CONCLUDES THE VICE PRESIDENTIAL DEBATE. MY THANKS TO THE CANDIDATES, THE COMMISSION AND TO YOU FOR WATCHING. PLEASE TUNE IN THIS SUNDAY FOR THE SECOND PRESIDENTIAL DEBATE OF WASHINGTON UNIVERSITY IN ST. LOUIS. AND FINAL DEBATE OCTOBER 19 AT"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KLAS_20161005_010000_CBS_News_The_Vice_Presidential_Debate,KLAS,CBS,"Las Vegas",local,CBS_News_The_Vice_Presidential_Debate,"10/16/2016 02:50:33",901.5,6633.7,10,https://archive.org/details/KLAS_20161005_010000_CBS_News_The_Vice_Presidential_Debate#start/6633.7/end/6643.7,"LADEN WIPED HIM OFTEN THE FACE OF THE WORTH. WORK ADD DEAL WITH THE RUSSIANS TO DECREASE THEIR CHEMICAL WEAPONS. A TOUGH NEGOTIATION WITH NATIONS AROUND THE WORLD TO ELIMINATE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KLAS_20161005_010000_CBS_News_The_Vice_Presidential_Debate,KLAS,CBS,"Las Vegas",local,CBS_News_The_Vice_Presidential_Debate,"10/16/2016 02:38:03",2392.1,5883.3,23.6,https://archive.org/details/KLAS_20161005_010000_CBS_News_The_Vice_Presidential_Debate#start/5883.3/end/5906.9,">> SAYS SOURS AN INSULT-DRIVEN CAMPAIGN? DID YOU ALL JUST HEAR THAT? OURS IS AN INSULT-DRIVEN CAMPAIGN? TO BE HONEST WITH YOU IF DONALD TRUMP SAID ALL THE THINGS THAT YOU SAID HE SAID IN THE WAY YOU SAID HE SAID THEM, HE STILL WOULDN'T HAVE A FRACTION OF THE INSULTS THAT HILLARY CLINTON LEVELED WHEN SHE SAID THAT HALF OF OUR SUPPORTERS WERE A BASKET"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KLAS_20161005_010000_CBS_News_The_Vice_Presidential_Debate,KLAS,CBS,"Las Vegas",local,CBS_News_The_Vice_Presidential_Debate,"10/16/2016 02:38:31",2457.7,5911.5,26.4,https://archive.org/details/KLAS_20161005_010000_CBS_News_The_Vice_Presidential_Debate#start/5911.5/end/5937.9,">> THAT'S RIGHT. NOW WE'RE EVEN. DONALD TRUMP APOLOGIZING TO JOHN McCAIN FOR SAYING HE WASN'T A HERO. DID HE APOLOGIZE FOR CALLING WOMEN SLOBS, PIGS, DOGS, DISGUSTING? >> SHE APOLOGIZED FOR SAYING -- GOVERNOR -- TWO MINUTES, PLEASE. >> DONALD TRUMP APOLOGIZE FOR TAKING AFTER SOMEBODY IN A TWITTER WAR MAKING FUN OF WEIGHT. 'POM GUYS FOR SAYING AFRICAN AMERICANS ARE LIVING IN HELL. DID HE APOLOGIZE SAYING"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KLAS_20161005_010000_CBS_News_The_Vice_Presidential_Debate,KLAS,CBS,"Las Vegas",local,CBS_News_The_Vice_Presidential_Debate,"10/16/2016 02:43:22",2878.1,6202.4,5.1,https://archive.org/details/KLAS_20161005_010000_CBS_News_The_Vice_Presidential_Debate#start/6202.4/end/6207.5,"BIG. THIRD, HE LOVES DICTATORS."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KLAS_20161005_010000_CBS_News_The_Vice_Presidential_Debate,KLAS,CBS,"Las Vegas",local,CBS_News_The_Vice_Presidential_Debate,"10/16/2016 02:51:13",2894,6673,17.9,https://archive.org/details/KLAS_20161005_010000_CBS_News_The_Vice_Presidential_Debate#start/6673/end/6690.9,"HUSSEIN. DONALD TRUMP BELIEVES THAT THE WORLD WILL BE SAFER IF MORE NATIONS HAVE NUCLEAR WEAPONS. HE SAID, SAUDI ARABIA SHOULD GET THEM. JAPAN SHOULD GET THEM. KOREA SHOULD GET THEM. WHEN HE WAS CONFRONTED WITH THIS TOLD, WAIT A MINUTE, TERRORISTS CAN GET THOSE. PROLIFERATION CAN LEAD TO NUCLEAR WAR, HE SAID, I QUOTE,"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KMGH_20161005_010000_ABC_News_Special_The_Vice_Presidential_Debate,KMGH,ABC,Denver,local,ABC_News_Special_The_Vice_Presidential_Debate,"10/16/2016 02:47:45",4060.2,6465.3,2.5,https://archive.org/details/KMGH_20161005_010000_ABC_News_Special_The_Vice_Presidential_Debate#start/6465.3/end/6467.8,"RUNNING MATE'S POSITION ON ONE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KMGH_20161005_010000_ABC_News_Special_The_Vice_Presidential_Debate,KMGH,ABC,Denver,local,ABC_News_Special_The_Vice_Presidential_Debate,"10/16/2016 02:38:32",4233.4,5912.5,15.4,https://archive.org/details/KMGH_20161005_010000_ABC_News_Special_The_Vice_Presidential_Debate#start/5912.5/end/5927.9,">> THANKS. JUST TRYING TO KEEP UP WITH THE INSULT-DRIVEN CAMPAIGN ONMENT OTHER SIDE OF THE -- >> I'M JUST SAYING FACTS ABOUT YOUR RUNNING MATE. >> YEAH. >> I KNOW YOU CAN'T DEFEND HIM. >> GOVERNOR --"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WRAL_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate,WRAL,NBC,RDF/NC,local,NBC_News_Special_2016_Vice_Presidential_Debate,"10/16/2016 02:48:28",4057.4,6508.2,20.7,https://archive.org/details/WRAL_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate#start/6508.2/end/6528.9,"TO GOVERNOR PENCE I CAN'T IMAGINE HOW YOU CAN DEFEND YOUR RUNNING MATE'S POSITION ON ONE ISSUE AFTER THE NEXT. IN ALL SIX CASES HE'S REFUSED TO DEFEND -- >> DON'T PUT WORDS IN MY MOUTH. >> THEN YET HE IS ASKING EVERYBODY TO VOTE FOR SOMEBODY THAT HE CANNOT DEFEND. I JUST THINK THAT SHOULD BE UNDERLINED."
