start_second,duration,coverage_count,programs,match_url,transcript
403,1,4,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/403/end/404,"TOGETHER. TODAY IS MY"
404,1,5,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/404/end/405,"TODAY IS MY GRANDDAUGHTER'S SECOND BIRTHDAY SO I THINK"
405,6,6,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance, FBC_20160927_130000_Varney__Company",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/405/end/411,"GRANDDAUGHTER'S SECOND BIRTHDAY SO I THINK ABOUT THIS A LOT. FIRST, WE HAVE TO BUILD AN ECONOMY THAT WORKS FOR EVERYONE NOT JUST THOSE AT THE TOP."
411,1,5,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/411/end/412,"TOP. THAT MEANS WE NEED NEW"
412,1,3,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_090000_Bloomberg_Surveillance",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/412/end/413,"THAT MEANS WE NEED NEW JOBS GOOD JOBS WITH"
413,1,1,BLOOMBERG_20160927_050000_Countdown,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/413/end/414,"JOBS GOOD JOBS WITH"
416,14,1,CNBC_20160927_170000_Power_Lunch,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/416/end/430,"I WANT US TO INVEST IN YOU. I WANT US TO INVEST IN YOUR FUTURE. THAT MEANS JOBS AND INFRASTRUCTURE AND ADVANCED MANUFACTURING. INNOVATION AND TECHNOLOGY. CLEAN RENEWABLE ENERGY AND SMALL BUSINESS BECAUSE MOST OF THE NEW JOBS WILL COME"
430,4,3,"FBC_20160927_130000_Varney__Company, CNBC_20160927_170000_Power_Lunch, CNNW_20160927_023000_Debate_Night_in_America",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/430/end/434,"NEW JOBS WILL COME FROM SMALL BUSINESS. WE ALSO HAVE TO MAKE THE ECONOMY FAIRER."
434,4,2,"FBC_20160927_130000_Varney__Company, CNNW_20160927_023000_Debate_Night_in_America",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/434/end/438,"THE ECONOMY FAIRER. THAT STARTS WITH RAISING THE NATIONAL MINIMUM WAGE AND ALSO"
438,1,1,FBC_20160927_130000_Varney__Company,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/438/end/439,"RAISING THE NATIONAL MINIMUM WAGE AND ALSO"
440,8,1,FBC_20160927_100000_Mornings_With_Maria_Bartiromo,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/440/end/448,"GUARANTEE FINALLY EQUAL PAY FOR WOMEN'S WORK. I ALSO WANT TO SEE MORE COMPANIES DO PROFIT SHARING. IF YOU HELP CREATE THE"
457,2,1,FOXNEWSW_20160928_030000_The_OReilly_Factor,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/457/end/459,"WHO ARE STRUGGLING TO BALANCE FAMILY AND"
459,4,2,"FOXNEWSW_20160928_030000_The_OReilly_Factor, FOXNEWSW_20160928_000000_The_OReilly_Factor",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/459/end/463,"BALANCE FAMILY AND WORK. I'VE HEARD FROM SO MANY OF YOU ABOUT THE DIFFICULT CHOICES YOU"
463,7,3,"FOXNEWSW_20160928_030000_The_OReilly_Factor, FOXNEWSW_20160928_000000_The_OReilly_Factor, FOXNEWSW_20160928_020000_Hannity",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/463/end/470,"DIFFICULT CHOICES YOU FACE AND THE STRESSES THAT YOU'RE UNDER. SO LET'S HAVE PAID FAMILY LEAVE. EARNED SICK DAYS."
470,2,2,"FOXNEWSW_20160928_030000_The_OReilly_Factor, FOXNEWSW_20160928_000000_The_OReilly_Factor",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/470/end/472,"LET'S BE SURE WE HAVE AFFORDABLE CHILDCARE"
472,2,1,FOXNEWSW_20160928_030000_The_OReilly_Factor,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/472/end/474,"AFFORDABLE CHILDCARE AND DEBT-FREE COLLEGE. HOW ARE WE GOING TO DO"
478,10,1,MSNBCW_20160927_050000_Live_Post_Debate,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/478/end/488,"BY HAVING THE WEALTHY PAY THEIR FAIR SHARE AND CLOSE THE CORPORATE LOOPHOLES. FINALLY WE TONIGHT ARE ON THE STAGE TOGETHER, DONALD TRUMP AND I. DONALD, IT'S GOOD TO BE WITH YOU."
493,2,1,FOXNEWSW_20160927_030000_The_Kelly_File,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/493/end/495,"TALKING ABOUT THE IMPORTANT ISSUES FACING OUR COUNTRY."
495,3,2,"FOXNEWSW_20160927_030000_The_Kelly_File, FOXNEWSW_20160927_150000_Happening_Now",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/495/end/498,"FACING OUR COUNTRY. YOU HAVE TO JUDGE US. WHO CAN SHOULDER THE"
498,3,1,FOXNEWSW_20160927_150000_Happening_Now,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/498/end/501,"WHO CAN SHOULDER THE IMMENSE, AWESOME RESPONSIBILITIES OF"
517,1,3,"BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/517/end/518,"THE POCKETS OF AMERICAN WORKERS. YOU HAVE UP TO TWO"
518,7,4,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/518/end/525,"AMERICAN WORKERS. YOU HAVE UP TO TWO MINUTES. >> THANK YOU, LESTER. OUR JOBS ARE FLEEING THE COUNTRY. THEY'RE GOING TO MEXICO THEY'RE GOING"
525,2,5,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, BLOOMBERG_20160927_200000_Whatd_You_Miss, BLOOMBERG_20160927_090000_Bloomberg_Surveillance, FBC_20160927_090000_FBN_AM",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/525/end/527,"MEXICO THEY'RE GOING TO MANY OTHER COUNTRIES. YOU LOOK AT WHAT CHINA"
527,1,3,"BLOOMBERG_20160927_140000_Bloomberg_Markets, BLOOMBERG_20160927_050000_Countdown, FBC_20160927_090000_FBN_AM",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/527/end/528,"COUNTRIES. YOU LOOK AT WHAT CHINA"
528,2,2,"BLOOMBERG_20160927_140000_Bloomberg_Markets, FBC_20160927_090000_FBN_AM",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/528/end/530,"IS DOING TO OUR COUNTRY IN TERMS OF"
530,15,1,FBC_20160927_090000_FBN_AM,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/530/end/545,"COUNTRY IN TERMS OF MAKING OUR PRODUCT. THEY'RE DEVALUING THEIR CURRENCY AND THERE'S NOBODY IN OUR GOVERNMENT TO FIGHT THEM AND WE HAVE A VERY GOOD FIGHT AND WE HAVE A WINNING FIGHT BECAUSE THEY'RE USING OUR COUNTRY AS A PIGGY BANK TO REBUILD CHINA AND MANY OTHER"
562,2,2,"MSNBCW_20160927_190000_The_Place_for_Politics_2016, CNNW_20160927_130000_CNN_Newsroom_With_Carol_Costello",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/562/end/564,"WITH THE UNITED STATES, AS YOU SAID, NOT SO MUCH."
564,6,3,"MSNBCW_20160927_190000_The_Place_for_Politics_2016, CNNW_20160927_130000_CNN_Newsroom_With_Carol_Costello, MSNBCW_20160927_080000_Live_Post_Debate",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/564/end/570,"SO FORD IS LEAVING, YOU SEE THAT."
570,1,2,"CNNW_20160927_130000_CNN_Newsroom_With_Carol_Costello, MSNBCW_20160927_080000_Live_Post_Debate",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/570/end/571,"THEIR SMALL CARDIFF"
571,1,1,CNNW_20160927_130000_CNN_Newsroom_With_Carol_Costello,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/571/end/572,"THEIR SMALL CARDIFF"
587,8,1,FBC_20160927_130000_Varney__Company,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/587/end/595,"TO DO, BUT PERHAPS WE'LL BE TALKING ABOUT THAT LATER. BUT WE HAVE TO STOP OUR JOBS FROM BEING STOLEN FROM US. WE HAVE TO STOP OUR"
610,3,1,CNNW_20160928_000000_Anderson_Cooper_360,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/610/end/613,"THEY FIRED 1,400 PEOPLE. THEY'RE GOING TO MEXICO. SO MANY HUNDREDS AND HUNDREDS OF COMPANIES"
614,1,3,"FOXNEWSW_20160928_030000_The_OReilly_Factor, FOXNEWSW_20160928_000000_The_OReilly_Factor, CNBC_20160927_130000_Squawk_on_the_Street",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/614/end/615,"ARE DOING THIS. WE CANNOT LET IT HAPPEN."
615,1,8,"FOXNEWSW_20160928_030000_The_OReilly_Factor, FBC_20160927_130000_Varney__Company, FBC_20160927_100000_Mornings_With_Maria_Bartiromo, FOXNEWSW_20160928_000000_The_OReilly_Factor, FOXNEWSW_20160927_150000_Happening_Now, CNBC_20160927_130000_Squawk_on_the_Street, CNBC_20160927_090000_Worldwide_Exchange, CNBC_20160927_100000_Squawk_Box",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/615/end/616,"WE CANNOT LET IT HAPPEN."
