debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KPIX_20160927_010000_CBS_News_The_First_Presidential_Debate,KPIX,CBS,SF/Oakland/SJ,local,CBS_News_The_First_Presidential_Debate,"09/27/2016 02:46:50",2010.8,6410.3,16,https://archive.org/details/KPIX_20160927_010000_CBS_News_The_First_Presidential_Debate#start/6410.3/end/6426.3,"THIS COUNTRY THAT HAS TO BE TAKEN CARE OF. I WILL RELEASE MY TAX RETURNS AGAINST MY LAWYER'S WISHES. WHEN SHE RELEASES HER HAVE BEEN DELETED. AS SOON AS SHE RELEASES THEM, I WILL RELEASE -- I WILL"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KPIX_20160927_010000_CBS_News_The_First_Presidential_Debate,KPIX,CBS,SF/Oakland/SJ,local,CBS_News_The_First_Presidential_Debate,"09/27/2016 02:47:09",2109.6,6429.8,13.8,https://archive.org/details/KPIX_20160927_010000_CBS_News_The_First_Presidential_Debate#start/6429.8/end/6443.6,"FOREIGN BANKS. OR MAYBE HE DOESN'T WANT THE AMERICAN PEOPLE, ALL OF YOU WATCHING TONIGHT, TO KNOW THAT HE'S PAID NOTHING IN FEDERAL TAXES BECAUSE THE ONLY YEARS THAT ANYBODY'S EVER SEEN WERE A COUPLE OF YEARS WHEN HE HAD TO TURN THEM"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KPIX_20160927_010000_CBS_News_The_First_Presidential_Debate,KPIX,CBS,SF/Oakland/SJ,local,CBS_News_The_First_Presidential_Debate,"09/27/2016 02:45:24",4940.3,6324.9,2.7,https://archive.org/details/KPIX_20160927_010000_CBS_News_The_First_Presidential_Debate#start/6324.9/end/6327.6,"I THINK MY STRONGEST ASSET, MAYBE BY FAR, IS MY TEMPERAMENT."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KPIX_20160927_010000_CBS_News_The_First_Presidential_Debate,KPIX,CBS,SF/Oakland/SJ,local,CBS_News_The_First_Presidential_Debate,"09/27/2016 02:41:35",5587,6095.5,71.1,https://archive.org/details/KPIX_20160927_010000_CBS_News_The_First_Presidential_Debate#start/6095.5/end/6166.6,"TAKEN CARE OF. >> MR. TRUMP, THIS YEAR SECRETARY CLINTON BECAME THE FIRST WOMAN NOMINATED FOR PRESIDENT BY A MAJOR PARTY. EARLIER THIS MONTH YOU SAID SHE DOESN'T HAVE, ""A PRESIDENTIAL LOOK."" SHE'S STANDING HERE RIGHT NOW. WHAT DID YOU MEAN BY THAT? >> SHE DOESN'T HAVE THE LOOK. SHE DOESN'T HAVE THE STAMINA. I SAID SHE DOESN'T HAVE THE STAMINA. AND I DON'T BELIEVE SHE DOES HAVE THE STAMINA. TO BE PRESIDENT OF THIS COUNTRY, YOU NEED TREMENDOUS STAMINA. >> THE QUOTE WAS ""I JUST DON'T THINK SHE HAS -- >> WAIT A MINUTE. YOU ASKED ME A QUESTION. DID SHE ASK ME A QUESTION? YOU HAVE TO BE ABLE TO NEGOTIATE ON TRADE DEALS. YOU HAVE TO BE ABLE TO NEGOTIATE -- THAT'S RIGHT, WITH JAPAN, WITH SAUDI ARABIA. I MEAN, CAN YOU IMAGINE WE'RE DEFENDING SAUDI ARABIA AND WITH ALL OF THE MONEY THEY HAVE, WE'RE DEFENDING THEM AND THEY'RE NOT PAYING? ALL YOU HAVE TO DO IS SPEAK TO THEM. WAIT, YOU HAVE SO MANY DIFFERENT THINGS YOU HAVE TO BE ABLE TO DO AND I DON'T BELIEVE THAT HILLARY HAS THE STAMINA. >> LET'S LET HER RESPOND. >> WELL, AS SOON AS HE TRAVELS TO 112 COUNTRIES AND NEGOTIATES A PEACE DEAL, A CEASE-FIRE, A RELEASE OF DISSIDENTS, AN OPENING OF NEW OPPORTUNITIES IN"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,CNNW_20160927_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"09/27/2016 04:28:33",430.3,7113.9,7.5,https://archive.org/details/CNNW_20160927_023000_Debate_Night_in_America#start/7113.9/end/7121.4,"FROM SMALL BUSINESS. WE ALSO HAVE TO MAKE THE ECONOMY FAIRER. THAT STARTS WITH"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,CNNW_20160927_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"09/27/2016 04:28:52",629.6,7132.1,13,https://archive.org/details/CNNW_20160927_023000_Debate_Night_in_America#start/7132.1/end/7145.1,"RONALD REAGAN. IT'S GOING TO BE A BEAUTIFUL THING TO WATCH. COMPANIES WILL COME. THEY WILL BUILD. THEY WILL EXPAND. NEW COMPANIES WILL START. AND I LOOK VERY, VERY MUCH FORWARD TO DOING IT. WE HAVE TO RENEGOTIATE"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,CNNW_20160927_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"09/27/2016 03:58:56",1318.4,5336.3,4.5,https://archive.org/details/CNNW_20160927_023000_Debate_Night_in_America#start/5336.3/end/5340.8,"OUT. I WROTE -- >> YOU CALLED IT THE GOLD STANDARD."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,CNNW_20160927_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"09/27/2016 03:59:25",1332.7,5365.6,4.5,https://archive.org/details/CNNW_20160927_023000_Debate_Night_in_America#start/5365.6/end/5370.1,">> OH, YEAH. >> -- THAT IS NOT THE FACTS. I DID SAY, I HOPED IT WOULD BE A GOOD DEAL. WHEN IT WAS NEGOTIATED --"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,CNNW_20160927_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"09/27/2016 04:22:02",2034.6,6722.8,7.1,https://archive.org/details/CNNW_20160927_023000_Debate_Night_in_America#start/6722.8/end/6729.9,"SHOWS, READING THE PAPERS, ALMOST EVERY LAWYER SAYS YOU DON'T RELEASE YOUR RETURNS UNTIL THE AUDIT'S"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,CNNW_20160927_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"09/27/2016 04:22:11",2072.4,6731.8,9.3,https://archive.org/details/CNNW_20160927_023000_Debate_Night_in_America#start/6731.8/end/6741.1,"RETURNS, BUT EVERYONE HAS DONE IT. WE KNOW THE IRS HAS MADE CLEAR THERE IS NO PROHIBITION ON RELEASING IT WHEN YOU'RE UNDER AUDIT. SO YOU'VE GOT TO ASK"
