start_second,duration,coverage_count,programs,match_url,transcript
430,8,1,CNNW_20160927_023000_Debate_Night_in_America,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/430/end/438,"NEW JOBS WILL COME FROM SMALL BUSINESS. WE ALSO HAVE TO MAKE THE ECONOMY FAIRER. THAT STARTS WITH RAISING THE NATIONAL MINIMUM WAGE AND ALSO"
480,13,1,KTVU_20160927_023000_730p_News_on_KTVU,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/480/end/493,"PAY THEIR FAIR SHARE AND CLOSE THE CORPORATE LOOPHOLES. FINALLY WE TONIGHT ARE ON THE STAGE TOGETHER, DONALD TRUMP AND I. DONALD, IT'S GOOD TO BE WITH YOU. WE'RE GOING TO HAVE A DEBATE WHERE WE ARE TALKING ABOUT THE"
493,4,2,"KTVU_20160927_023000_730p_News_on_KTVU, FOXNEWSW_20160927_030000_The_Kelly_File",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/493/end/497,"TALKING ABOUT THE IMPORTANT ISSUES FACING OUR COUNTRY. YOU HAVE TO JUDGE US."
497,1,1,FOXNEWSW_20160927_030000_The_Kelly_File,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/497/end/498,"WHO CAN SHOULDER THE"
629,14,1,CNNW_20160927_023000_Debate_Night_in_America,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/629/end/643,"HAVEN'T SEEN SINCE RONALD REAGAN. IT'S GOING TO BE A BEAUTIFUL THING TO WATCH. COMPANIES WILL COME. THEY WILL BUILD. THEY WILL EXPAND. NEW COMPANIES WILL START. AND I LOOK VERY, VERY MUCH FORWARD TO DOING IT. WE HAVE TO RENEGOTIATE OUR TRADE DEALS AND WE"
661,20,1,BLOOMBERG_20160927_030000_Asia_Edge,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/661/end/681,"DEALS. WE ALSO, THOUGH, NEED TO HAVE A TAX SYSTEM THAT REWARDS WORK AND NOT JUST FINANCIAL TRANSACTIONS. AND THE KIND OF PLAN THAT DONALD HAS PUT FORTH WOULD BE TRICKLE-DOWN ECONOMICS ALL OVER AGAIN, IN FACT, IT WOULD BE THE MOST EXTREME VERSION,"
827,6,1,KTVU_20160927_023000_730p_News_on_KTVU,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/827/end/833,"MANY YEARS. BUT THE POLITICIANS HAVEN'T DONE ANYTHING ABOUT IT. NOW, IN ALL FAIRNESS TO SECRETARY CLINTON,"
1156,5,2,"FOXNEWSW_20160927_030000_The_Kelly_File, FOXNEWSW_20160927_040000_Hannity",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1156/end/1161,"LEAVING. THEY'RE GONE. AND HILLARY, I JUST ASK YOU THIS, YOU'VE BEEN DOING THIS FOR 30"
1161,10,1,FOXNEWSW_20160927_040000_Hannity,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1161/end/1171,"BEEN DOING THIS FOR 30 YEARS. WHY ARE YOU JUST THINKING ABOUT THESE SOLUTIONS RIGHT NOW? FOR 30 YEARS YOU'VE BEEN DOING IT AND NOW YOU'RE JUST STARTING TO THINK OF SOLUTIONS. >> WELL, ACTUALLY -- >> I WILL BRING --"
1251,2,1,FBC_20160927_023000_Cavuto_Coast_to_Coast,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1251/end/1253,"CHINA 50%. SO I KNOW HOW TO"
1253,12,2,"FOXNEWSW_20160927_030000_The_Kelly_File, FBC_20160927_023000_Cavuto_Coast_to_Coast",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1253/end/1265,"SO I KNOW HOW TO REALLY WORK TO GET NEW JOBS AND TO GET EXPORTS THAT HELP TO CREATE MORE NEW JOBS. >> VERY QUICKLY -- >> YOU HAVEN'T DONE IT IN 30 YEARS OR 26 YEARS. >> I'VE BEEN A SENATOR, DONALD."
1265,4,3,"FOXNEWSW_20160927_030000_The_Kelly_File, FOXNEWSW_20160927_030000_The_Kelly_File, FBC_20160927_023000_Cavuto_Coast_to_Coast",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1265/end/1269,">> I'VE BEEN A SENATOR, DONALD. >> YOU HAVEN'T DONE IT. YOU HAVEN'T DONE IT."
1269,1,2,"FOXNEWSW_20160927_030000_The_Kelly_File, FBC_20160927_023000_Cavuto_Coast_to_Coast",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1269/end/1270,"YOU HAVEN'T DONE IT. >> I'VE BEEN SECRETARY"
1285,12,1,FBC_20160927_023000_Cavuto_Coast_to_Coast,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1285/end/1297,"MANUFACTURERS DOWN NA N NAFTA IS THE WORST TRADE DEAL SIGNED ANYWHERE, IN THIS COUNTRY. NOW YOU WANT TO APPROVE TRANS-PACIFIC PARTNERSHIP."
1297,6,2,"FOXNEWSW_20160927_030000_The_Kelly_File, FBC_20160927_023000_Cavuto_Coast_to_Coast",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1297/end/1303,"APPROVE TRANS-PACIFIC PARTNERSHIP. YOU WERE TOTALLY IN FAVOR OF IT THEN HEARD WHAT I WAS SAYING HOW BAD IT IS AND SAID I CAN'T WIN THAT DEBATE."
1303,14,1,FOXNEWSW_20160927_030000_The_Kelly_File,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1303/end/1317,"YUAN IF Y YOU KNOW IF YOU DID WIN, YOU WOULD APPROVE THAT AND ALMOST BE AS BAD AS NAFTA. NOTHING WILL TOP NANAFA. >> THAT IS NOT ACCURATE. I WAS AGAINST IT ONCE IT WAS FINALLY NEGOTIATED."
1317,1,2,"FOXNEWSW_20160927_030000_The_Kelly_File, FBC_20160927_023000_Cavuto_Coast_to_Coast",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1317/end/1318,"NEGOTIATED. THE TERMS WERE LAID"
1318,4,3,"CNNW_20160927_023000_Debate_Night_in_America, FOXNEWSW_20160927_030000_The_Kelly_File, FBC_20160927_023000_Cavuto_Coast_to_Coast",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1318/end/1322,"THE TERMS WERE LAID OUT. I WROTE -- >> YOU CALLED IT THE GOLD STANDARD."
1322,1,2,"CNNW_20160927_023000_Debate_Night_in_America, FBC_20160927_023000_Cavuto_Coast_to_Coast",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1322/end/1323,"YOU KACALLED IT THE GOLD"
1332,6,1,CNNW_20160927_023000_Debate_Night_in_America,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1332/end/1338,"LIVE IN YOUR OWN REALITY -- >> OH, YEAH. >> -- THAT IS NOT THE FACTS. I DID SAY, I HOPED IT WOULD BE A GOOD DEAL. WHEN IT WAS NEGOTIATED -- >> NOT."
1540,1,1,BLOOMBERG_20160927_023000_Bloomberg_Politics_Election_2016,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1540/end/1541,"WEBSITE. YOU KNOW WHAT, IT'S NO"
1541,9,2,"FOXNEWSW_20160927_030000_The_Kelly_File, BLOOMBERG_20160927_023000_Bloomberg_Politics_Election_2016",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1541/end/1550,"DIFFERENT THAN THIS. SHE'S TELLING US HOW TO FIGHT ISIS. GO TO HER WEBSITE. SHE TELLS YOU HOW TO FIGHT ISIS ON HER WEBSITE. I DON'T THINK GENERAL"
1550,12,3,"KTVU_20160927_023000_730p_News_on_KTVU, FOXNEWSW_20160927_030000_The_Kelly_File, BLOOMBERG_20160927_023000_Bloomberg_Politics_Election_2016",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1550/end/1562,"I DON'T THINK GENERAL DOUGLAS MacARTHUR WOULD LIKE THAT TOO MUCH. >> THE NEXT SEGMENT -- >> AT LEAST I HAVE A PLAN TO FIGHT ISIS. >> NO, NO, YOU'RE TELLING THE ENEMY EVERYTHING I WANT TO DO. >> NO, WE'RE NOT. >> SEE, YOU TELLING THE ENEMY EVERYTHING YOU WANT TO DO. NO WONDER YOU'VE,"
1562,3,2,"KTVU_20160927_023000_730p_News_on_KTVU, BLOOMBERG_20160927_023000_Bloomberg_Politics_Election_2016",https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1562/end/1565,"YOU WANT TO DO. NO WONDER YOU'VE, FIGHTING -- NO WONDER YOU'VE BEEN FIGHTING ISIS YOUR ENTIRE ADULT LIFE."
1565,1,1,KTVU_20160927_023000_730p_News_on_KTVU,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1565/end/1566,"ISIS YOUR ENTIRE ADULT LIFE."
1581,4,1,KTVU_20160927_023000_730p_News_on_KTVU,https://archive.org/details/KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1#start/1581/end/1585,"TWO OF YOU CONCERNS THE WEALTHY. SECRETARY CLINTON, YOU'RE CALLING FOR A TAX INCREASE ON THE WEALTHIEST AMERICANS."
