debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KUSA_20160927_120000_9News_at_6am,KUSA,NBC,Denver,local,9News_at_6am,"09/27/2016 12:03:58",1542.2,238.3,18.1,https://archive.org/details/KUSA_20160927_120000_9News_at_6am#start/238.3/end/256.4,"SHE'S TELLING US HOW TO FIGHT ISIS. GO TO HER WEBSITE. SHE TELLS YOU HOW TO FIGHT ISIS ON HER WEBSITE. I DON'T THINK GENERAL DOUGLAS MacARTHUR WOULD LIKE THAT TOO MUCH. >> THE NEXT SEGMENT -- >> AT LEAST I HAVE A PLAN TO FIGHT ISIS. >> NO, NO, YOU'RE TELLING THE ENEMY EVERYTHING I WANT TO DO. >> NO, WE'RE NOT. >> SEE, YOU TELLING"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KUSA_20160927_120000_9News_at_6am,KUSA,NBC,Denver,local,9News_at_6am,"09/27/2016 12:35:46",2010.8,2146.7,10.7,https://archive.org/details/KUSA_20160927_120000_9News_at_6am#start/2146.7/end/2157.4,"THIS COUNTRY THAT HAS TO BE TAKEN CARE OF. I WILL RELEASE MY TAX RETURNS AGAINST MY LAWYER'S WISHES. WHEN SHE RELEASES HER HAVE BEEN DELETED."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KUSA_20160927_120000_9News_at_6am,KUSA,NBC,Denver,local,9News_at_6am,"09/27/2016 12:36:03",2166.4,2163,9,https://archive.org/details/KUSA_20160927_120000_9News_at_6am#start/2163/end/2172,"AMERICAN PEOPLE DESERVE TO SEE AND I HAVE NO REASON TO BELIEVE THAT HE'S EVER GOING TO RELEASE HIS TAX RETURNS BECAUSE THERE'S SOMETHING HE'S"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KUSA_20160927_120000_9News_at_6am,KUSA,NBC,Denver,local,9News_at_6am,"09/27/2016 12:34:19",2443.6,2059.3,3,https://archive.org/details/KUSA_20160927_120000_9News_at_6am#start/2059.3/end/2062.3,"A GOOD JOB AND I WAS UNSATISFIED WITH HIS WORK WHICH OUR COUNTRY"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KUSA_20160927_120000_9News_at_6am,KUSA,NBC,Denver,local,9News_at_6am,"09/27/2016 12:34:36",2545.3,2076.3,13.2,https://archive.org/details/KUSA_20160927_120000_9News_at_6am#start/2076.3/end/2089.5,"GET PAID A LOT, BUT TAKING ADVANTAGE OF THE LAWS OF THE NATION. NOW, IF YOU WANT TO CHANGE THE LAWS, YOU'VE BEEN THERE A LONG TIME, CHANGE THE LAW. BUT I TAKE ADVANTAGE OF THE LAWS OF THE NATION BECAUSE I'M"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KUSA_20160927_120000_9News_at_6am,KUSA,NBC,Denver,local,9News_at_6am,"09/27/2016 12:05:49",3516.2,349.2,7.6,https://archive.org/details/KUSA_20160927_120000_9News_at_6am#start/349.2/end/356.8,">> UNBROKEN. AND I WILL TELL YOU, YOU LOOK AT THE INNER CITIES AND I JUST LEFT DETROIT AND I JUST LEFT PHILADELPHIA AND"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KUSA_20160927_120000_9News_at_6am,KUSA,NBC,Denver,local,9News_at_6am,"09/27/2016 12:00:03",3540.1,3.4,6.6,https://archive.org/details/KUSA_20160927_120000_9News_at_6am#start/3.4/end/10,"THEIR POLITICIANS HAVE DONE. >> MR. TRUMP -- >> I THINK DONALD JUST CRITICIZED ME FOR"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KUSA_20160927_120000_9News_at_6am,KUSA,NBC,Denver,local,9News_at_6am,"09/27/2016 12:05:59",3542.1,359.8,9.3,https://archive.org/details/KUSA_20160927_120000_9News_at_6am#start/359.8/end/369.1,"DONE. >> MR. TRUMP -- >> I THINK DONALD JUST CRITICIZED ME FOR PREPARING FOR THIS DEBATE. AND YES, I DID."
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KUSA_20160927_120000_9News_at_6am,KUSA,NBC,Denver,local,9News_at_6am,"09/27/2016 12:05:13",3760.3,313.5,9.7,https://archive.org/details/KUSA_20160927_120000_9News_at_6am#start/313.5/end/323.2,"IT CAN'T BE DISMISSED THAT EASILY. HE HAS REALLY STARTED HIS POLITICAL ACTIVITY BASED ON THIS RACIST LIE THAT OUR FIRST"
KNTV_20160927_010000_NBC_News_Special_2016_Presidential_Debate_1,KUSA_20160927_120000_9News_at_6am,KUSA,NBC,Denver,local,9News_at_6am,"09/27/2016 12:05:25",3886.6,325.2,7.0999999999999,https://archive.org/details/KUSA_20160927_120000_9News_at_6am#start/325.2/end/332.3,"I DON'T THINK YOU CAN DENY THAT. BUT JUST LAST WEEK YOUR CAMPAIGN MANAGER SAID IT WAS TRUE. SO WHEN YOU TRY TO ACT"
