debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161010_040000_Second_Presidential_Debate,FBC,"FOX Business",SF/Oakland/SJ,cable,Second_Presidential_Debate,"10/10/2016 04:03:45",221.9,225.6,119.9,https://archive.org/details/FBC_20161010_040000_Second_Presidential_Debate#start/225.6/end/345.5,"ANDERSON COOPER. >> GOOD EVENING. I'M MARTHA RADDATZ FROM ABC NEWS. >> WELCOME YOU TO ST. LOUIS TO THE SEC PRESIDENTIAL DEBATE BETWEEN HILLARY CLINTON AND DONALD TRUMP. SPONSORED BY THE COMMISSION ON PRESIDENTIAL DEBATES. TONIGHT'S DEBATE IS A TOWN HALL FORMAT WHICH GIVES VOTERS A CHANCE TO DIRECTLY ASK THE CANDIDATES QUESTIONS. MARTHA AND I WILL ASK FOLLOW-UP QUESTIONS BUT THE NIGHT BELONGS TO THE PEOPLE IN THIS ROOM AND TO PEOPLE ACROSS THE COUNTRY WHO HAVE SUBMITTED QUESTIONS ONLINE. >> THE PEOPLE YOU SEE ON THIS STAGE WERE CHOSEN BY THE GALLUP ORGANIZATION, THEY ARE ALL FROM THE ST. LOUIS AREA, TOLD GALLUP THEY HAVEN'T COMMITTED TO A CANDIDATE. EACH OF THEM CAME HERE WITH QUESTIONS THEY WANT TO ASK AND WE SAW THOSE QUESTIONS FOR THE FIRST TIME THIS MORNING. ANDERSON AND I AND OUR TEAM FROM ABC AND CNN ARE THE ONLY ONES WHO HAVE SEEN THEM. BOTH CANDIDATES WILL HAVE TWO MINUTES TO ANSWER EACH AUDIENCE AND ONLINE QUESTION, WE HOPE THE GET TO AS MANY QUESTIONS AS WE CAN SO WE'VE ASKED THE AUDIENCE HERE NOT TO HAVE ANY APPLAUSE EXCEPT FOR NOW, LADIES AND GENTLEMEN, THE REPUBLICAN NOMINEE FOR PRESIDENT, JOHN CALLED J. TRUMP AND THE DEMOCRATIC NOMINEE FOR PRESIDENT HILLARY CLINTON. [ Applause ] >> THANK YOU VERY MUCH FOR BEING HERE. WE'LL BEGIN WITH A QUESTIROM ONE OF THE MEMBERS IN OUR TOWN HALL, EACH OF YOU WILL HAVE TWO MINUTES TO RESPOND. SECRETARY CLINTON YOU WON THE COIN TOSS YOU'LL GO FIRST OUR FIRST QUESTION COMES FROM PATRICE BROCK."
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161010_040000_Second_Presidential_Debate,FBC,"FOX Business",SF/Oakland/SJ,cable,Second_Presidential_Debate,"10/10/2016 04:06:06",362.5,366,102.7,https://archive.org/details/FBC_20161010_040000_Second_Presidential_Debate#start/366/end/468.7,">> I THINK THAT'S A VERY GOOD QUESTION. BECAUSE I'VE HEARD FROM LOTS OF TEACHERS AND PARENTS ABOUT SOME OF THEIR CONCERNS ABOUT SOME OF THE THINGS THAT ARE BEING SAID AND DONE IN THIS CAMPAIGN. AND I THINK IT IS VERY IMPORTANT FOR US TO MAKE CLEAR TO OUR CHILDREN THAT OUR COUNTRY REALLY IS GREAT BECAUSE WE'RE GOOD. AND WE ARE GOING TO RESPECT ONE ANOTHER, LIFT EACH OTHER UP. WE ARE GOING TO BE LOOKING FOR WAYS TO CELEBRATE OUR DIVERSITY. AND WE ARE GOING TO TRY TO REACH OUT TO EVERY BOY AND GIRL AS WELL AS EVERY ADULT TO BRING THEM IN TO WORKING ON BEHALF OF OUR COUNTRY. I HAVE A VERY POSITIVE AND OPTIMISTIC VIEW ABOUT WHAT WE CAN DO TOGETHER. THAT'S WHY THE SLOGAN OF MY CAMPAIGN IS STRONGER TOGETHER. BECAUSE I THINK IF WE WORK TOGETHER, IF WE OVERCOME THE DIVISIVENESS THAT SOMETIMES SETS AMERICANS AGAINST ONE ANOTHER AND INSTEAD WE MAKE SOME BIG GOALS AND I'VE SET FORTH SOME BIG GOALS GETTING THE ECONOMY TO WORK FOR EVERYONE, NOT JUST THOSE AT THE TOP. MAKING SURE THAT WE HAVE THE BEST EDUCATION SYSTEM FROM PRESCHOOL THROUGH COLLEGE AND MAKING IT AFFORDABLE, AND SO MUCH ELSE. IF WE SET THOSE GOALS AND WE GO TOGETHER TO TRY TO ACHIEVE THEM, THERE'S NOTHING IN MY OPINION THAT AMERICA CAN'T DO. SO THAT'S WHY I HOPE THAT WE WILL COME TOGETHER IN THIS CAMPAIGN, OBVIOUSLY I'M HOPING TO EARN YOUR VOTE. I'M HOPING TO BE ELECTED IN NOVEMBER AND I CAN PROMISE YOU, I WILL WORK WITH EVERY AMERICAN, I WANT TO BE THE PRESIDENT FOR"
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161010_040000_Second_Presidential_Debate,FBC,"FOX Business",SF/Oakland/SJ,cable,Second_Presidential_Debate,"10/10/2016 04:08:06",482.8,486.2,100.8,https://archive.org/details/FBC_20161010_040000_Second_Presidential_Debate#start/486.2/end/587,"THAT. I AGREE WITH EVERYTHING SHE SAID. I BEGAN THIS CAMPAIGN BECAUSE I WAS SO TIRED OF SEEING SUCH FOOLISH THINGS HAPPEN TO OUR COUNTRY. THIS IS A GREAT COUNTRY. THIS IS A GREAT LAND. I HAVE GOTTEN TO KNOW THE PEOPLE OF THE COUNTRY OVER THE LAST YEAR AND A HALF THAT I'VE BEEN DOING THIS AS A POLITICIAN. I CANNOT BELIEVE I'M SAYING THAT ABOUT MYSELF BUT I GUESS I HAVE BEEN A POLITICIAN. AND MY WHOLE CONCEPT WAS TO MAKE AMERICA GREAT AGAIN. WHEN I WATCH THE DEALS BEING MADE, WHEN I WATCH WHAT'S HAPPENING WITH SOME HORRIBLE THINGS LIKE OBAMACARE WHERE YOUR HEALTH INSURANCE AND HEALTHCARE IS GOING UP BY NUMBERS THAT ARE ASTRONOMICAL, 68%, 59%, 71% WHEN I LOOK AT THE IRAN DEAL HOW BAD A DEAL IT IS FOR US, IT'S A ONE-SIDED TRANSACTION WHERE WE'RE GIVING BACK $150 BILLION TO A TERRORIST STATE, REALLY THE NUMBER ONE TERRORIST STATE. WE'VE MADE THEM AING TO COUNTRY FROM A WEAK COUNTRY JUST THREE YEARS AGO. WHEN I LOOK AT ALL OF THE THINGE POTENTIAL THAT OUR COUNTRY HAS, WE HAVE SUCH TREMENDOUS POTENTIAL, WHETHER IT'S IN BUSINESS AND TRADE WHERE WE'RE DOING SO BADLY. LAST YEAR WE HAD AN ALMOST $800 BILLION TRADE DEFICIT. IN OTHER WORDS, TRADING WITH OTHER COUNTRIES. WE HAD $800 BILLION DEFICIT. IT'S HARD TO BELIEVE. INCONCEIVABLE. YOU SAY WHO IS MAKING THESE DEALS? WE'RE GOING TO MAKE GRADE DEALS. HAVE A STRONG BORDER. BRING BACK LAW AND ORDER. JUST TODAY A POLICEMEN WERE SHOT, TWO KILLED, THIS IS HAPPENING ON A WEEKLY BASIS."
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161010_040000_Second_Presidential_Debate,FBC,"FOX Business",SF/Oakland/SJ,cable,Second_Presidential_Debate,"10/10/2016 04:10:01",598.6,601.9,72.4,https://archive.org/details/FBC_20161010_040000_Second_Presidential_Debate#start/601.9/end/674.3,"CITIES BETTER FOR AFRICAN AMERICAN CITIZENS THAT ARE SO GREAT AND FOR LATINOS, HISPANICS AND I LOOK FORWARD TO DOING TH THIS. MAKE AMERICA GREAT AGAIN. >> THANK YOU, MR. TRUMP. THE QUESTION FROM PATRICE WAS ABOUT ARE YOU BOTH MODELING POSITIVE AND APPROPRIATE BEHAVIORS FOR TODAY'S YOUTH. WE RECEIVED LOT OF QUESTIONS ONLINE, MR. TRUMP, ABOUT THE TAPE THAT WAS RELEASED FRIDAY YOU CAN IMAGINE YOU CALLED WHAT YOU SAID LOCKER ROOM BANTER, KISSING WOMEN WITHOUT CONSTENT, GRABBING THEIR GENITALS THAT IS SEXUAL ASSAULT. YOU DRAGGED THAT YOU HAVE SEXUALLY ASSAULTED WOMEN. DO YOU UNDERSTAND THAT? >> NO, I DIDN'T SAY THAT AT ALL. I DON'T THINK YOU UNDERSTOOD WHAT WAS SAID. THIS WAS LOCKER ROOM TALK. I'M NOT PROUD OF IT. I APOLOGIZED TO MY FAMILY, I APOLOGIZED TO THE AMERICAN PEOPLE. CERTAINLY I'M NOT PROUD OF IT. BUT THIS IS LOCKER ROOM TALK. WHEN WE HAVE A WORLD WHERE YOU HAVE ISIS CHOPPING OFF HEADS, WHERE YOU HAVE -- FRANKLY DROWNING PEOPLE IN STEEL CAGES WHERE YOU HAVE WARS AND HORRIBLE, HORRIBLE SITES ALL OVER, WHERE YOU HAVE SO MANY BAD THINGS HAPPENING, THIS IS LIKE MEDIEVAL TIMES, WE HAVEN'T SEEN ANYTHING LIKE THIS. THE CARNAGE ALL OVER THE WORLD. AND THEY LOOK AND THEY SEE, CAN YOU IMAGINE THE PEOPLE THAT ARE FRANKLY DOING SO WELL AGAINST US"
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161010_040000_Second_Presidential_Debate,FBC,"FOX Business",SF/Oakland/SJ,cable,Second_Presidential_Debate,"10/10/2016 04:14:05",842.4,845.4,77.4,https://archive.org/details/FBC_20161010_040000_Second_Presidential_Debate#start/845.4/end/922.8,"WE SAW HIM AFTER THE FIRST DEBATE DEPEND NEARLY A WEEK DENIGRATING A FORMER MISS UNIVERSE IN THE HARSHEST, POST PERSONAL TERM. SO, YES, THIS IS WHO DONALD TRUMP S. BUT IT'S NOT ONLY WOMEN AND IT'S NOT ONLY THIS VIDEO THAT RAISES QUESTIONS ABOUT HIS FITNESS TO BE OUR PRESIDENT. BECAUSE HE HAS ALSO TARGETED IMMIGRANTS, AFRICAN AMERICANS, LATINOS, PEOPLE WITH DISABILITIES, P.O.W.s, MUSLIMS, SO MANY OTHERS. SO THIS IS WHO DONALD TRUMP IS. THE QUESTION FOR US, THE QUESTION OUR COUNTRY MUST ANSWER IS, THIS IS NOT WHO WE ARE. THAT'S WHY TO GO BACK TO YOUR QUESTION, I WANT TO SEND A MESSAGE, WE ALL SHOULD, TO EVERY BOY AND GIRL AND DEED TO THE ENTIRE WORLD, THAT AMERICA ALREADY IS GREAT BUT WE ARE GREAT BECAUSE WE ARE GOOD. AND WE WILL RESPECT ONE ANOTHER AND WE WILL WORK WITH ONE ANOTHER. AND WE WILL CELEBRATE OUR DIVERSITY. THESE ARE VERY IMPORTANT VALUES TO ME. BECAUSE THIS IS THE AMERICA THAT I KNOW AND LOVE."
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161010_040000_Second_Presidential_Debate,FBC,"FOX Business",SF/Oakland/SJ,cable,Second_Presidential_Debate,"10/10/2016 04:17:25",1042.2,1045.1,90,https://archive.org/details/FBC_20161010_040000_Second_Presidential_Debate#start/1045.1/end/1135.1,"I AM A PERSON WHO HAS GREAT RESPECT FOR PEOPLE, FOR MY FAMILY, FOR THE PEOPLE OF THIS COUNTRY. AND CERTAINLY I'M NOT PROUD OF IT. BUT THAT WAS SOMETHING THAT HAPPENED. IF YOU LOOK AT BILL CLINTON, FAR WORSE, MINOR WORDS AND HIS WAS ACTION. HIS WAS WHAT HE'S DONE TO WOMEN, THERE'S NEVER BEEN ANYBODY IN THE HISTORY OF POLITICS IN THIS NATION THAT HAS BEEN SO ABUSIVE TO WOMEN. SO, YOU CAN SAY, ANY WAY YOU WANT TO SAY IT BUT BILL CLINTON WAS ABUSIVE TO WOMEN. HILLARY CLINTON ATTACKED THOSE SHAME WOMEN. ATTACKED THEM VICIOUSLY. FOUR OF THEM ARE HERE TONIGHT. ONE OF THE WOMEN WHO IS A WONDERFUL WOMAN AT 12 YEARS OLD WAS RAPED AT 12. HER CLIENT, SHE REPRESENTED GOT HIM OFF AND SHE SEEN LAUGHING ON TWO SEPARATE OCCASIONS, LAUGHING AT THE GIRL WHO WAS RAPED. KATHY SHELTON, THAT YOUNG WOMAN, IS HERE WITH US TONIGHT. SO, DON'T TELL ME ABOUT WORDS. I AM ABSOLUTELY, I APOLOGIZE FOR THOSE WORDS. BUT IT IS THINGS THAT PEOPLE S SAY. BUT WHAT PRESIDENT CLINTON DID, HE WAS IMPEACHED, HE LOST HIS LICENSE TO PRACTICE LAW. HE HAD TO PAY AN $850,000 FINE TO ONE OF THE WOMEN. PAULA JONES, WHO IS ALSO HERE TONIGHT. AND I WILL TELL YOU THAT WHEN HILLARY BRINGS UP A POINT LIKE THAT SHE TALKS ABOUT WORDS THAT"
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161010_040000_Second_Presidential_Debate,FBC,"FOX Business",SF/Oakland/SJ,cable,Second_Presidential_Debate,"10/10/2016 04:24:22",1459.4,1462.1,235.4,https://archive.org/details/FBC_20161010_040000_Second_Presidential_Debate#start/1462.1/end/1697.5,"HILLARYCLINTON.COM WE HAVE LITERALLY, YOU CAN FACT CHECK HIM IN REALTIME. LAST TIME THE FIRST DEBATE WE HAD MILLIONS OF PEOPLE FACT CHECKING SO I EXPECTS WE'LL HAVE MILLIONS MORE FACT CHECKING BECAUSE, YOU KNOW, IT IS -- JUST AWFULLY GOOD THAT SOMEONE WITH THE TEMPERAMENT OF DONALD TRUMP IS NOT IN CHARGE OF THE LAW IN OUR COUNTRY. >> BECAUSE YOU'D BE IN JAIL. >> SECRETARY CLINTON -- [  AUDIENCE REACTS ] >> REMIND THE AUDIENCE TO PLEASE NOT TALK OUT LOUD, PLEASE DO NOT APPLAUD, YOU'RE JUST WASTING TIME. >> SECRETARY CLINTON I DO WANT TO FOLLOW UP ON E-MAILS. YOU SAID YOU'RE HANDLING YOUR E-MAILS WAS A MISTAKE, YOU DISAGREED WITH DIRECTOR -- FBI DIRECTOR CALL YOUR HAMMING OF CLASSIFIED INFORMATION, QUOTE, EXTREMELY CARELESS. THE FBI SAID THAT THERE WERE 110 CLASSIFIED E-MAILS THAT WERE EXCHANGED. EIGHT OF WHICH WERE TOP SECRET. THAT IT WAS POSSIBLE DID GAIN ACCESS TO THOSE E-MAILS. SAW DON'T CALL THAT EXTREMELY CARELESS? >> WELL, MARTHA, FIRST LET ME SAY, I'VE SAID IT BEFORE OUT I'LL REPEAT BECAUSE I WANT EVERYONE TO HEAR IT. THAT WAS A MISTAKE. AND I TAKE RESPONSIBILITY FOR USING A PERSONAL E-MAIL ACCOUNT. OBVIOUSLY IF I WERE TO DO IT OVER AGAIN I WOULD NOT. I'M NOT MAKING ANY EXCUSES. IT WAS A MISTAKE. I AM VERY SORRY ABOUT THAT. BUT I THINK IT'S ALSO IMPORTANT TO POINT OUT WHERE THERE ARE SOME MISLEADING ACCUSATIONS FROM CRITICS AND OTHERS. AFTER A YEAR-LONG INVESTIGATION THERE IS NO EVIDENCE THAT ANYONE HACKED THE SERVER I WAS USING. THERE IS NO EVIDENCE THAT ANY ONE CAN POINTED TO, AT ALL, ANYONE WHO SAYS OTHERWISE HAS NO BASIS, THAT ANY CLASSIFIED MATERIAL ENDED UP IN THE WRONG HANDS. I TAKE CLASSIFIED MATERIAL VERY SERIOUSLY. AND ALWAYS HAVE WHEN I WAS ON THE SENATE ARMED SERVICES COMMITTEE, I WAS PRIVY TO A LOT OF CLASSIFIED MATERIAL. OBVIOUSLY AS SECRETARY OF STATE, I HAD SOME OF THE MOST IMPORTANT SECRETS THAT WE POSSESS, SUCH AS GOING AFTER BIN LADEN. SO, I AM VERY COMMITTED TO TAKING CLASSIFIED INFORMATION SERIOUSLY AND AS I SAID THERE IS NO EVIDENCE THAT ANY CLASSIFIED INFORMATION ENDED UP IN THE WRONG HANDS. >> WE'RE GOING TO MOVE ON. >> AND YET SHE DIDN'T KNOW THE WORD -- LET SNEER C"" ON DOCUME DOCUMENT, RIGHT, SHE DIDN'T EVEN KNOW WHAT THAT WORD -- WHAT THAT LETTER MEANT. IT'S AMAZING I'M WATCHING MIL REGO OVER FACTS. SHE'S GOING AFTER FACT AFTER FACT. SHE'S LYING AGAIN. BECAUSE SHE'S SAID SHE -- WHAT SHE DID WITH E-MAILS WAS FINE. YOU THINK IT WAS FINE TO DELETE SO. SHE SAID THAT 33,000 E-MAILS HAD TO DO WITH HER DAUGHTER'S WEDDING, NUMBER ONE. AND A YOGA CLASS. WELL MAYBE WE'LL GIVE THREE OR FOUR OR FIVE -- 33,000 E-MAILS DELETED. NOW SHE'S SAYING THERE WASN'T ANYTHING WRONG. MORE IMPORTANTLY THAT WAS AFTER GETTING A SUBPOENA. THAT WASN'T BEFORE. THAT WAS AFTER SHE -- SHE GOT IT FROM THE UNITED STATES CONGRESS I'LL BE HONEST I AM SO DISAPPOINTED IN CONGRESSMAN, INCLUDING REPUBLICANS FOR ALLOWING THIS TO HAPPEN. OUR JUSTICE DEPARTMENT WHERE HER HUSBAND GOES ON TO THE BACK OF AIRPLANE FOR 39 MINUTES, TALKS TO THE ATTORNEY GENERAL, DAYS BEFORE RULING IS GOING TO BE MADE ON HER CASE. BUT FOR YOU TO SAY THAT THERE WAS NOTHING WRONG WITH YOU DELETING 39,000 E-MAILS, AGAIN, YOU SHOULD BE ASHAMED OF YOURSELF. WHAT YOU DID. THIS IS AFTER GETTING A SUBPOENA FROM THE UNITED STATES CONGRESS. >> WE THAT HAVE TOO MOVE ON SECRETARY CLIP TON WE CAN RESPOND -- >> WE WANT TO GIVE THE AUDIENCE A CHANCE HERE. >> LET ALONE AFTER GETTING A SUBPOENA FROM THE UNITED STATES -- >> SECRETARY CLINTON YOU YOU CAN"
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161010_040000_Second_Presidential_Debate,FBC,"FOX Business",SF/Oakland/SJ,cable,Second_Presidential_Debate,"10/10/2016 04:31:01",1859.2,1861.4,101.4,https://archive.org/details/FBC_20161010_040000_Second_Presidential_Debate#start/1861.4/end/1962.8,"SERIOUS HEALTH PROBLEMS. NUMBER THREE, WOMEN CAN'T BE CHARGED MORE THAN MEN FOR OUR HEALTH INSURANCE, WHICH IS THE WAY IT USED TO BE. BEFORE THE AFFORDABLE CARE ACT. NUMBER FOUR, IF YOU'RE UNDER 26 AND YOUR PARENTS HAVE A POLICY YOU CAN BE ON THAT POLICY UNTIL THE AGE OF 26. SOMETHING THAT DIDN'T HAPPEN BEFORE. SO, I WANT VERY MUCH TO SAVE WHAT WORKS AND IS GOOD ABOUT THE AFFORDABLE CARE ACT. BUT WE'VE GOT TO GET COSTS DOWN. WE'VE GOT TO PROVIDE SOME ADDITIONAL HELP TO SMALL BUSINESSES SO THAT THEY CAN AFFORD TO PROVIDE HEALTH INSURANCE. BUT IF WE REPEAL IT AS DONALD HAS PROPOSED, AND START OVER AGAIN, ALL OF THOSE BENEFITS I JUST MENTIONED ARE LOST TO EVERYBODY. NOT JUST PEOPLE WHO GET THEIR HEALTH INSURANCE ON THE EXCHANGE. AND THEN WE WOULD HAVE TO START ALL OVER AGAIN. RIGHT NOW WE ARE AT 90% HEALTH INSURANCE COVERAGE. THAT'S HIGHEST WE'VE EVER BEEN IN OUR COUNTRY. >> YOUR TIME IS UP. I WANT TO GET 100% BUT GET COSTS DOWN KEEP QUALITY UP. >> MR. TRUMP YOU HAVE TWO MINUTES. >> IT IS SUCH A GREAT QUESTION. AND IT'S MAYBEMENT QUESTION I GET ALMOST MORE THAN ANYTHING ELSE. OUTSIDE OF DEFENSE. OBAMACARE IS A DISASTER. YOU KNOW IT, WE ALL KNOW IT. IT'S GOING UP AT NUMBERS THAT NOBODY HAS EVER SEEN WORLDWIDE. NOBODY HAS EVER SEEN NUMBERS LIKE THIS FOR HEALTH CARE. IT'S ONLY GETTING WORSE. IN '17 IT IMPLODES BY ITSELF. THEIR METHOD OF FIXING IT TO GO BACK ASK CONGRESS FOR MORE AND MORE MONEY, WE HAVE RIGHT NOW ALMOST $20 TRILLION IN DEBT. OBAMACARE WILL NEVER WORK. IT'S VERY BAD, VERY BAD HEALTH INSURANCE."
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161010_040000_Second_Presidential_Debate,FBC,"FOX Business",SF/Oakland/SJ,cable,Second_Presidential_Debate,"10/10/2016 04:33:04",1982,1984.1,105.5,https://archive.org/details/FBC_20161010_040000_Second_Presidential_Debate#start/1984.1/end/2089.6,"WORKS, WHERE YOUR PLAN CAN ACTUALLY BE TAILORED WE HAVE TO GET RID OF THE LINES AROUND THE STATE. ARTIFICIAL LINES, WHERE WE STOP INSURANCE COMPANIES FROM COMING IN AND COMPETING, BECAUSE THEY WANT, PRESIDENT OBAMA AND WHOEVER WAS WORKING ON IT, THEY WANT TO LEAVE THOSE LINES BECAUSE THAT GIVES THE INSURANCE COMPANIES ESSENTIALLY MONOPOLIES. WE WANT COMPETITION. YOU WILL HAVE FINEST HEALTH CARE PLAN. SHE WANTS TO GO TO SINGLE PAYER PLAN WHICH WOULD BE DISASTER. SOMEWHAT SIMILAR TO CANADA. IF YOU EVER NOTICED THAT CANADIANS WHEN THEY NEED A BIG OPERATION WHEN SOMETHING HAPPENS THEY COME INTO THE UNITED STATES IN MANY CASES. BECAUSE THEIR SYSTEM IS SO SLOW, IT'S CATASTROPHIC IN CERTAIN WAYS. BUT SHE WANTS TO GO TO SINGLE PAYER. WHICH MEANS THE GOVERNMENT BASICALLY RULES EVERYTHING. HILLARY CLINTON HAS BEEN AFTER THIS FOR YEARS. OBAMACARE WAS THE FIRST STEP, OBAMACARE IS A TOTAL DISASTER. NOT ONLY ARE YOUR RATES GOING UP BY NUMBERS THAT NOBODY HAS EVER BELIEVED, BUT YOU DEDUCTIBLES ARE GOING UP. SO THAT UNLESS YOU GET HIT BY A TRUCK YOU ARE NEVER GOING TO BE ABLE TO USE IT. >>  MR. TRUMP YOUR TIME -- DISASTROUS PLAN IT HAS TO BE REPEALED AND REPLACED. >> SECRETARY CLINTON LET ME FOLLOW UP YOUR HUSBAND CALLED OBAMACARE, QUOTE, CRAZIEST THINGS IN THE WORLD SAYING THAT SMALL BUSINESS OWNERS ARE GETTING KILLED AS PREMIUMS DOUBLE, COVERAGE CUT IN HALF, WAS HE MISTAKEN OR WAS HIS MISTAKE SAYING THE TRUTH? >> HE CLARIFIED WHAT HE MEANT. IT'S VERY CLEAR, WE ARE IN A SITUATION IN OUR COUNTRY WHERE IF WE WERE TO START ALL OVER AGAIN, WE MIGHT COME UP WITH A DIFFERENT SYSTEM. BUT WE HAVE AN EMPLOYER-BASED SYSTEM, THAT'S WHERE THE VAST MAJORITY OF PEOPLE GET THEIR HEALTH CARE. AND THE AFFORDABLE CARE ACT WAS MEANT TO TRY TO FILL THE GAP"
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161010_040000_Second_Presidential_Debate,FBC,"FOX Business",SF/Oakland/SJ,cable,Second_Presidential_Debate,"10/10/2016 04:35:02",2100.2,2102.2,106.2,https://archive.org/details/FBC_20161010_040000_Second_Presidential_Debate#start/2102.2/end/2208.4,"JOB DOING IT, BY THE WAY. THEN ALL THE PEOPLE WHO WERE EMPLOYED BUT PEOPLE WHO WERE WORKING BUT DIDN'T HAVE THE MONEY TO AFFORD INSURANCE AND DIDN'T HAVE ANYBODY, AN EMPLOYER OR ANYBODY ELSE TO HELP THEM. THAT WAS THE SLOT THAT THE OBAMACARE APPROACH WAS TO TAKE. LIKE I SAY, 20 MILLION PEOPLE NOW HAVE HEALTH INSURANCE. SO, IF WE JUST RIP IT UP AND THROW IT AWAY, WHAT DONALD NOT TELLING YOU, WE JUST TURN IT BACK TO THE INSURANCE COMPANIES THE WAY IT USED TO BE. AND THAT MEANS INSURANCE COMPANIES GET TO DO PRETTY MUCH WHATEVER THEY WANT INCLUDING SAYING, LOOK, I'M SORRY, YOU GOT DIABETES, YOU HAD CANCER, YOUR CHILD HAS ASTHMA -- >> YOUR TIME IS SUBPOENA. >> YOU MAY NOT BE ABLE TO HAVE INSURANCE. BECAUSE YOU CAN'T AFFORD IT. LET'S FIX WHAT'S BROKEN, BUT LET'S NOT THROW IT AWAY AND GIVE IT ALL BACK TO THE INSURANCE COMPANIES -- >> LET ME FOLLOW U7, MR. TRUMP, ON THIS -- >> JUST ONE THING. EVERYTHING IS BROKEN ABOUT IT, EVERYTHING. NUMBER TWO, BERNIE SANDERS SAID THAT HILLARY CLINTON HAS VERY BAD JUDGMENT. THIS IS A PERFECT EXAMPLE OF IT. >> MR. TRUMP -- TRYING TO SAVE OBAMACARE -- YOU SAID YOU WANT TO OBAMACARE AND WANT TO MAKE COVERAGE ACCESSIBLE TO PEOPLE WITH PREEXISTING CONDITIONS, HOW DO YOU FORCE INSURANCE COMPANIES TO DO THAT IF YOU ARE NO LONGER MANDATING -- >> YOU ARE GOING TO HAVE PLANS -- >> WHAT DOES THAT MEAN? >> I'LL TELL YOU WHAT IT MEANS. YOU'RE GOING TO HAVE PLANS THAT ARE SO GOOD BECAUSE WE'RE GOING TO HAVE SO MUCH COMPETITION IN THE INSURANCE INDUSTRY, ONCE WE BREAK OUT -- ONCE WE BREAK OUT THE LINES ALLOW THE COMPETITION TO COME. >> ARE YOU GOING TO HAVE A MANDATE THAT -- >> EXCUSE ME. PRESIDENT OBAMA BY KEEPING THOSE LINES, BOUNDARY LINES AROUND EACH, WAS ALMOST GONE UNTIL JUST VERY TOWARD THE END OF THE MESSAGE OF OBAMACARE."
