start_second,duration,coverage_count,programs,match_url,transcript
221,2,1,FBC_20161010_040000_Second_Presidential_Debate,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/221/end/223,"ANDERSON COOPER."
223,21,2,"FBC_20161010_040000_Second_Presidential_Debate, CSPAN_20161010_010000_Presidential_Nominees_Debate_at_Washington_University",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/223/end/244,">> GOOD EVENING. I'M MARTHA RADDATZ FROM ABC NEWS. >> WELCOME YOU TO ST. LOUIS TO THE SEC PRESIDENTIAL DEBATE BETWEEN HILLARY CLINTON AND DONALD TRUMP. SPONSORED BY THE COMMISSION ON PRESIDENTIAL DEBATES. TONIGHT'S DEBATE IS A TOWN HALL FORMAT WHICH GIVES VOTERS A CHANCE TO DIRECTLY ASK THE"
244,98,1,FBC_20161010_040000_Second_Presidential_Debate,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/244/end/342,"CANDIDATES QUESTIONS. MARTHA AND I WILL ASK FOLLOW-UP QUESTIONS BUT THE NIGHT BELONGS TO THE PEOPLE IN THIS ROOM AND TO PEOPLE ACROSS THE COUNTRY WHO HAVE SUBMITTED QUESTIONS ONLINE. >> THE PEOPLE YOU SEE ON THIS STAGE WERE CHOSEN BY THE GALLUP ORGANIZATION, THEY ARE ALL FROM THE ST. LOUIS AREA, TOLD GALLUP THEY HAVEN'T COMMITTED TO A CANDIDATE. EACH OF THEM CAME HERE WITH QUESTIONS THEY WANT TO ASK AND WE SAW THOSE QUESTIONS FOR THE FIRST TIME THIS MORNING. ANDERSON AND I AND OUR TEAM FROM ABC AND CNN ARE THE ONLY ONES WHO HAVE SEEN THEM. BOTH CANDIDATES WILL HAVE TWO MINUTES TO ANSWER EACH AUDIENCE AND ONLINE QUESTION, WE HOPE THE GET TO AS MANY QUESTIONS AS WE CAN SO WE'VE ASKED THE AUDIENCE HERE NOT TO HAVE ANY APPLAUSE EXCEPT FOR NOW, LADIES AND GENTLEMEN, THE REPUBLICAN NOMINEE FOR PRESIDENT, JOHN CALLED J. TRUMP AND THE DEMOCRATIC NOMINEE FOR PRESIDENT HILLARY CLINTON. [ Applause ] >> THANK YOU VERY MUCH FOR BEING HERE. WE'LL BEGIN WITH A QUESTIROM ONE OF THE MEMBERS IN OUR TOWN HALL, EACH OF YOU WILL HAVE TWO MINUTES TO RESPOND. SECRETARY CLINTON YOU WON THE COIN TOSS YOU'LL GO FIRST OUR FIRST QUESTION COMES FROM PATRICE BROCK. >> THANK YOU."
362,104,1,FBC_20161010_040000_Second_Presidential_Debate,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/362/end/466,">> I THINK THAT'S A VERY GOOD QUESTION. BECAUSE I'VE HEARD FROM LOTS OF TEACHERS AND PARENTS ABOUT SOME OF THEIR CONCERNS ABOUT SOME OF THE THINGS THAT ARE BEING SAID AND DONE IN THIS CAMPAIGN. AND I THINK IT IS VERY IMPORTANT FOR US TO MAKE CLEAR TO OUR CHILDREN THAT OUR COUNTRY REALLY IS GREAT BECAUSE WE'RE GOOD. AND WE ARE GOING TO RESPECT ONE ANOTHER, LIFT EACH OTHER UP. WE ARE GOING TO BE LOOKING FOR WAYS TO CELEBRATE OUR DIVERSITY. AND WE ARE GOING TO TRY TO REACH OUT TO EVERY BOY AND GIRL AS WELL AS EVERY ADULT TO BRING THEM IN TO WORKING ON BEHALF OF OUR COUNTRY. I HAVE A VERY POSITIVE AND OPTIMISTIC VIEW ABOUT WHAT WE CAN DO TOGETHER. THAT'S WHY THE SLOGAN OF MY CAMPAIGN IS STRONGER TOGETHER. BECAUSE I THINK IF WE WORK TOGETHER, IF WE OVERCOME THE DIVISIVENESS THAT SOMETIMES SETS AMERICANS AGAINST ONE ANOTHER AND INSTEAD WE MAKE SOME BIG GOALS AND I'VE SET FORTH SOME BIG GOALS GETTING THE ECONOMY TO WORK FOR EVERYONE, NOT JUST THOSE AT THE TOP. MAKING SURE THAT WE HAVE THE BEST EDUCATION SYSTEM FROM PRESCHOOL THROUGH COLLEGE AND MAKING IT AFFORDABLE, AND SO MUCH ELSE. IF WE SET THOSE GOALS AND WE GO TOGETHER TO TRY TO ACHIEVE THEM, THERE'S NOTHING IN MY OPINION THAT AMERICA CAN'T DO. SO THAT'S WHY I HOPE THAT WE WILL COME TOGETHER IN THIS CAMPAIGN, OBVIOUSLY I'M HOPING TO EARN YOUR VOTE. I'M HOPING TO BE ELECTED IN NOVEMBER AND I CAN PROMISE YOU, I WILL WORK WITH EVERY AMERICAN, I WANT TO BE THE PRESIDENT FOR ALL AMERICANS."
482,28,1,FBC_20161010_040000_Second_Presidential_Debate,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/482/end/510,">> WELL, I ACTUALLY AGREE WITH THAT. I AGREE WITH EVERYTHING SHE SAID. I BEGAN THIS CAMPAIGN BECAUSE I WAS SO TIRED OF SEEING SUCH FOOLISH THINGS HAPPEN TO OUR COUNTRY. THIS IS A GREAT COUNTRY. THIS IS A GREAT LAND. I HAVE GOTTEN TO KNOW THE PEOPLE OF THE COUNTRY OVER THE LAST YEAR AND A HALF THAT I'VE BEEN DOING THIS AS A POLITICIAN. I CANNOT BELIEVE I'M SAYING THAT ABOUT MYSELF BUT I GUESS I HAVE BEEN A POLITICIAN. AND MY WHOLE CONCEPT WAS TO MAKE"
510,13,2,"FBC_20161010_040000_Second_Presidential_Debate, CNNW_20161010_023500_Debate_Night_in_America",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/510/end/523,"AMERICA GREAT AGAIN. WHEN I WATCH THE DEALS BEING MADE, WHEN I WATCH WHAT'S HAPPENING WITH SOME HORRIBLE THINGS LIKE OBAMACARE WHERE YOUR HEALTH INSURANCE AND HEALTHCARE IS GOING UP BY NUMBERS THAT ARE"
523,61,1,FBC_20161010_040000_Second_Presidential_Debate,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/523/end/584,"IS GOING UP BY NUMBERS THAT ARE ASTRONOMICAL, 68%, 59%, 71% WHEN I LOOK AT THE IRAN DEAL HOW BAD A DEAL IT IS FOR US, IT'S A ONE-SIDED TRANSACTION WHERE WE'RE GIVING BACK $150 BILLION TO A TERRORIST STATE, REALLY THE NUMBER ONE TERRORIST STATE. WE'VE MADE THEM AING TO COUNTRY FROM A WEAK COUNTRY JUST THREE YEARS AGO. WHEN I LOOK AT ALL OF THE THINGE POTENTIAL THAT OUR COUNTRY HAS, WE HAVE SUCH TREMENDOUS POTENTIAL, WHETHER IT'S IN BUSINESS AND TRADE WHERE WE'RE DOING SO BADLY. LAST YEAR WE HAD AN ALMOST $800 BILLION TRADE DEFICIT. IN OTHER WORDS, TRADING WITH OTHER COUNTRIES. WE HAD $800 BILLION DEFICIT. IT'S HARD TO BELIEVE. INCONCEIVABLE. YOU SAY WHO IS MAKING THESE DEALS? WE'RE GOING TO MAKE GRADE DEALS. HAVE A STRONG BORDER. BRING BACK LAW AND ORDER. JUST TODAY A POLICEMEN WERE SHOT, TWO KILLED, THIS IS HAPPENING ON A WEEKLY BASIS. WE HAVE TO BRING BACK RESPECT TO"
598,18,1,FBC_20161010_040000_Second_Presidential_Debate,https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/598/end/616,"FIXING AND MAKING OUR INNER CITIES BETTER FOR AFRICAN AMERICAN CITIZENS THAT ARE SO GREAT AND FOR LATINOS, HISPANICS AND I LOOK FORWARD TO DOING TH THIS. MAKE AMERICA GREAT AGAIN. >> THANK YOU, MR. TRUMP. THE QUESTION FROM PATRICE WAS ABOUT ARE YOU BOTH MODELING POSITIVE AND APPROPRIATE BEHAVIORS FOR TODAY'S YOUTH."
616,9,2,"FBC_20161010_040000_Second_Presidential_Debate, FOXNEWSW_20161010_030000_The_Kelly_File",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/616/end/625,"WE RECEIVED LOT OF QUESTIONS ONLINE, MR. TRUMP, ABOUT THE TAPE THAT WAS RELEASED FRIDAY YOU CAN IMAGINE YOU CALLED WHAT YOU SAID LOCKER ROOM BANTER, KISSING WOMEN WITHOUT CONSTENT,"
625,1,3,"FBC_20161010_040000_Second_Presidential_Debate, CNNW_20161010_023500_Debate_Night_in_America, FOXNEWSW_20161010_030000_The_Kelly_File",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/625/end/626,"KISSING WOMEN WITHOUT CONSTENT,"
626,2,4,"FBC_20161010_040000_Second_Presidential_Debate, CNNW_20161010_023500_Debate_Night_in_America, FOXNEWSW_20161010_030000_The_Kelly_File, FBC_20161010_030000_Cavuto_Coast_to_Coast",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/626/end/628,"GRABBING THEIR GENITALS THAT IS"
628,2,6,"FBC_20161010_040000_Second_Presidential_Debate, CNNW_20161010_023500_Debate_Night_in_America, FBC_20161010_010000_Second_Presidential_Debate, FOXNEWSW_20161010_030000_The_Kelly_File, FOXNEWSW_20161010_030000_The_Kelly_File, FBC_20161010_030000_Cavuto_Coast_to_Coast",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/628/end/630,"SEXUAL ASSAULT. YOU DRAGGED THAT YOU HAVE"
630,15,7,"FBC_20161010_040000_Second_Presidential_Debate, CNNW_20161010_023500_Debate_Night_in_America, CNNW_20161010_023500_Debate_Night_in_America, FBC_20161010_010000_Second_Presidential_Debate, FOXNEWSW_20161010_030000_The_Kelly_File, FOXNEWSW_20161010_030000_The_Kelly_File, FBC_20161010_030000_Cavuto_Coast_to_Coast",https://archive.org/details/KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/630/end/645,"YOU DRAGGED THAT YOU HAVE SEXUALLY ASSAULTED WOMEN. DO YOU UNDERSTAND THAT? >> NO, I DIDN'T SAY THAT AT ALL. I DON'T THINK YOU UNDERSTOOD WHAT WAS SAID. THIS WAS LOCKER ROOM TALK. I'M NOT PROUD OF IT. I APOLOGIZED TO MY FAMILY, I APOLOGIZED TO THE AMERICAN PEOPLE. CERTAINLY I'M NOT PROUD OF IT."
