debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WEWS_20161010_090000_Good_Morning_Cleveland_at_5am,WEWS,ABC,Cleavland,local,Good_Morning_Cleveland_at_5am,"10/10/2016 09:28:48",813.4,1728.1,3.3,https://archive.org/details/WEWS_20161010_090000_Good_Morning_Cleveland_at_5am#start/1728.1/end/1731.4,"DOESN'T REPRESENT WHO HE IS."
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WEWS_20161010_090000_Good_Morning_Cleveland_at_5am,WEWS,ABC,Cleavland,local,Good_Morning_Cleveland_at_5am,"10/10/2016 09:01:30",1336.7,90.2,5.3,https://archive.org/details/WEWS_20161010_090000_Good_Morning_Cleveland_at_5am#start/90.2/end/95.5,"ABOUT BERNIE SANDERS AND DEBRA WASSERMAN SCHULZ HAD IN MIND BECAUSE BERNIE SANDERS BETWEEN"
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WEWS_20161010_090000_Good_Morning_Cleveland_at_5am,WEWS,ABC,Cleavland,local,Good_Morning_Cleveland_at_5am,"10/10/2016 09:51:40",1406.3,3100,3.4,https://archive.org/details/WEWS_20161010_090000_Good_Morning_Cleveland_at_5am#start/3100/end/3103.4,"LIKE THIS WHERE E-MAILS AND YOU"
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WEWS_20161010_090000_Good_Morning_Cleveland_at_5am,WEWS,ABC,Cleavland,local,Good_Morning_Cleveland_at_5am,"10/10/2016 09:29:11",1474.7,1751,2.4,https://archive.org/details/WEWS_20161010_090000_Good_Morning_Cleveland_at_5am#start/1751/end/1753.4,
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WEWS_20161010_090000_Good_Morning_Cleveland_at_5am,WEWS,ABC,Cleavland,local,Good_Morning_Cleveland_at_5am,"10/10/2016 09:59:27",1725.1,3567.2,5.1,https://archive.org/details/WEWS_20161010_090000_Good_Morning_Cleveland_at_5am#start/3567.2/end/3572.3,">> POCK, DONALD. I KNOW YOU'RE IN TO BIG DIVERSION TONIGHT, ANYTHING TO"
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WEWS_20161010_090000_Good_Morning_Cleveland_at_5am,WEWS,ABC,Cleavland,local,Good_Morning_Cleveland_at_5am,"10/10/2016 09:50:49",1906.1,3049,3.5,https://archive.org/details/WEWS_20161010_090000_Good_Morning_Cleveland_at_5am#start/3049/end/3052.5,"AND THEN WE WOULD HAVE TO START ALL OVER AGAIN."
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161010_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/10/2016 09:32:33",636.5,1953.9,2.4,https://archive.org/details/WHDH_20161010_090000_7News_Today_in_New_England#start/1953.9/end/1956.3,"THIS WAS LOCKER ROOM TALK. I'M NOT PROUD OF IT."
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161010_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/10/2016 10:03:36",672.5,3816.7,5.1999999999999,https://archive.org/details/WHDH_20161010_090000_7News_Today_in_New_England#start/3816.7/end/3821.9,"WITH ISIS. AND THEY LOOK AT OUR COUNTRY THEY SEE WHAT IS GOING ON. YES, I'M VERY EMBARRASSED BY IT."
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161010_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/10/2016 09:32:47",807.5,1967.3,9.6,https://archive.org/details/WHDH_20161010_090000_7News_Today_in_New_England#start/1967.3/end/1976.9,"WHAT HE DOES TO WOMEN. AND HE HAS SAID THAT THE VIDEO DOESN'T REPRESENT WHO HE IS."
KQED_20161010_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161010_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/10/2016 10:48:37",807.8,6517.3,9.7,https://archive.org/details/WHDH_20161010_090000_7News_Today_in_New_England#start/6517.3/end/6527,"WHAT HE DOES TO WOMEN. AND HE HAS SAID THAT THE VIDEO DOESN'T REPRESENT WHO HE IS."
