start_second,duration,coverage_count,programs,match_url,transcript
226,92,1,CSPAN_20161020_160000_Key_Capitol_Hill_Hearings,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/226/end/318,">> GOOD EVENING FROM THE UNIVERSITY OF NEVADA LAS VEGAS. I'M CHRIS WALLACE OF FOX NEWS. I WELCOME YOU TO THE THIRD AND FINAL OF THE 2016 PRESIDENTIAL DEBATES BETWEEN IS SECRETARY OF STATE HILLARY CLINTON AND DONALD J. TRUMP. THIS DEBATE SPONSORED BY THE COMMISSION ON PRESIDENTIAL DEBATES, THE COMMISSION HAS DESIGNED THE FORMAT. SIX ROUGHLY 15-MINUTE SEGMENTS WITH TWO-MINUTE ANSWERS THEN OPEN DISCUSSION FOR THE REST OF EACH SEGMENT. BOTH CAMPAIGNS HAVE AGREED TO THOSE RULES. FOR THE RECORD, I DECIDED THE TOPICS AND THE QUESTIONS IN EACH TOPIC, NONE OF THOSE QUESTIONS HAS BEEN SHARED WITH THE COMMISSION OR THE TWO CANDIDATES. THE AUDIENCE HERE IN THE HALL HAS PROMISED TO REMAIN SILENCE NO CHOOSE, BOOS OR OTHER INTERRUPTIONS SO WE AND YOU CAN FOCUS ON WHAT THE CANDIDATES HAVE TO SAY. NO NOISE, EXCEPT RIGHT NOW AS WE WELCOME THE DEMOCRATIC NOMINEE FOR PRESIDENT SECRETARY CLINTON AND THE REPUBLICAN NOMINEE FOR PRESIDENT MR. TRUMP. [ Applause ] SECRETARY CLINTON, MR. TRUMP. WELCOME. LET'S GET RIGHT TO IT. THE FIRST TOP SICK THE SUPREME COURT. YOU BOTH TALKED BRIEFLY ABOUT THE COURT IN THE LAST DEBATE BUT I WANT TO DRILL DOWN ON THIS BECAUSE THE NEXT PRESIDENT WILL"
522,1,2,"FOXNEWSW_20161020_080000_Fox_and_Friends_First, FBC_20161020_130000_Varney__Company",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/522/end/523,"BUT THESE WERE STATEMENTS THAT"
523,3,3,"FOXNEWSW_20161020_080000_Fox_and_Friends_First, FBC_20161020_130000_Varney__Company, CNNW_20161020_170000_Wolf",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/523/end/526,"SHOULD NEVER, EVER HAVE BEEN MADE. WE NEED A SUPREME COURT THAT IN"
526,3,4,"CNNW_20161020_023000_Debate_Night_in_America, FOXNEWSW_20161020_080000_Fox_and_Friends_First, FBC_20161020_130000_Varney__Company, CNNW_20161020_170000_Wolf",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/526/end/529,"MY OPINION IS GOING TO UPHOLD THE 2nd AMENDMENT, ALL"
529,12,2,"CNNW_20161020_023000_Debate_Night_in_America, FBC_20161020_130000_Varney__Company",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/529/end/541,"THE 2nd AMENDMENT, ALL AMENDMENT BUT THE 2nd AMENDMENT WHICH IS UNDER ABSOLUTE SIEGE. I BELIEVE AS MY OPPONENT SHOULD WIN THIS RACE, WHICH I TRULY DON'T THINK WILL HAPPEN, WE WILL"
558,1,2,"MSNBCW_20161020_140000_MSNBC_Live, BLOOMBERG_20161020_210000_With_All_Due_Respect",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/558/end/559,"JUSTICES THAT I AM GOING TO"
559,2,3,"MSNBCW_20161020_140000_MSNBC_Live, BLOOMBERG_20161020_210000_With_All_Due_Respect, FBC_20161020_180000_The_Intelligence_Report_With_Trish_Regan",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/559/end/561,"JUSTICES THAT I AM GOING TO APPOINT, THAT I NAMED 20 OF"
561,2,4,"MSNBCW_20161020_140000_MSNBC_Live, BLOOMBERG_20161020_210000_With_All_Due_Respect, FBC_20161020_180000_The_Intelligence_Report_With_Trish_Regan, CNNW_20161020_160000_At_This_Hour_With_Berman_and_Bolduan",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/561/end/563,"APPOINT, THAT I NAMED 20 OF THEM, THE JUSTICES THAT I'M"
563,1,3,"MSNBCW_20161020_140000_MSNBC_Live, BLOOMBERG_20161020_210000_With_All_Due_Respect, CNNW_20161020_160000_At_This_Hour_With_Berman_and_Bolduan",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/563/end/564,"THEM, THE JUSTICES THAT I'M GOING TO APPOINT WILL BE PRO"
564,1,2,"MSNBCW_20161020_140000_MSNBC_Live, BLOOMBERG_20161020_210000_With_All_Due_Respect",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/564/end/565,"GOING TO APPOINT WILL BE PRO"
