second,coverage_count,transcript,link
0,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/0/end/60
1,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1/end/61
2,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/2/end/62
3,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/3/end/63
4,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/4/end/64
5,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/5/end/65
6,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/6/end/66
7,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/7/end/67
8,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/8/end/68
9,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/9/end/69
10,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/10/end/70
11,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/11/end/71
12,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/12/end/72
13,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/13/end/73
14,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/14/end/74
15,0,">> FUNDING FOR THIS PROGRAM HAS BEEN PROVIDED BY:",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/15/end/75
16,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/16/end/76
17,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/17/end/77
18,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/18/end/78
19,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/19/end/79
20,0,"Captioning sponsored by",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/20/end/80
21,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/21/end/81
22,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/22/end/82
23,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/23/end/83
24,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/24/end/84
25,0,"NEWSHOUR PRODUCTIONS, LLC",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/25/end/85
26,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/26/end/86
27,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/27/end/87
28,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/28/end/88
29,0,,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/29/end/89
