debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/20/2016 03:39:23",1014.4,4163.9,19.9,https://archive.org/details/CNNW_20161020_023000_Debate_Night_in_America#start/4163.9/end/4183.8,"PLANNED PARENTHOOD. I WILL DEFEND PLANNED PARENTHOOD. I WILL DEFEND ROE V. WADE AND DEFEND WOMEN'S RIGHTS TO MAKE THEIR OWN HEALTHCARE DECISIONS. WE HAVE COME TOO FAR TO HAVE THAT TURNED BACK NOW. INDEED HE SAID WOMEN SHOULD BE PUNISHED, THAT THERE SHOULD BE SOME FORM OF PUNISHMENT FOR"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/20/2016 03:11:36",1359.6,2496,6.7,https://archive.org/details/CNNW_20161020_023000_Debate_Night_in_America#start/2496/end/2502.7,"THAT HAVE TO GO OUT. WE'RE GOING TO GET THEM OUT WE'RE GOING TO SECURITY BORDER AND ONCE THE BORDER IS SECURED AT A LATER DATE MAKE"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/20/2016 03:51:57",1592.4,4917.5,8.3,https://archive.org/details/CNNW_20161020_023000_Debate_Night_in_America#start/4917.5/end/4925.8,"CAN'T EXPLOIT THEM AND UNDERCUT AMERICAN WAGES DONALD KNOWS A LOT ABOUT THIS HE USED UDOCUMENTED LABOR TO BUILD THE TRUMP TOWER. HE UNDERPAID UNDOCUMENTED"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/20/2016 03:37:24",1656.6,4044.1,8.7,https://archive.org/details/CNNW_20161020_023000_Debate_Night_in_America#start/4044.1/end/4052.8,"THAT SOMEBODY RUNS ACROSS THE BORDER, BECOMES A CITIZEN UNDER HER PLAN YOU HAVE OPEN BORDERS, YOU WOULD HAVE A DISASTER ON TRADE, YOU WILL HAVE A DISASTER WITH YOUR OPEN BOARDERS."
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/20/2016 04:26:51",1957.8,7011.8,24.3,https://archive.org/details/CNNW_20161020_023000_Debate_Night_in_America#start/7011.8/end/7036.1,"I HIT IT'S -- SHE HAS NO IDEA WHETHER IT'S RUSHA CHINA -- >> I'M NOT QUOTING MYSELF I AM -- >> YOU HAVE NO IDEA. >> -- DO YOU DOUBT 17 INTELLIGENCE -- >> HAVE NO IDEA. >> WELL, YOU HAVE -- VLADIMIR PUTIN THE MILITARY AND MILITARY INTELLIGENCE PROFESSIONALS WHO ARE SWORN TO PROTECT US. I FIND THAT --"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/20/2016 03:50:37",2074.4,4837,12.7,https://archive.org/details/CNNW_20161020_023000_Debate_Night_in_America#start/4837/end/4849.7,"RAISING NUCLEAR WEAPONS, THIS IS A PERSON WHO HAS BEEN VERY CAVALIER, EVEN CASUAL ABOUT THE USE OF NUCLEAR WEAPONS. HE'S ADVOCATED MORE COUNTRIES GETTING THEM JAPAN KOREA, EVEN"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/20/2016 03:50:52",2160.6,4852.6,4.6,https://archive.org/details/CNNW_20161020_023000_Debate_Night_in_America#start/4852.6/end/4857.2,"LOOK, SHE'S BEEN PROVEN TO BE A LIAR ON SO MANY DIFFERENT WAYS. THIS IS JUST ANOTHER LIE."
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/20/2016 04:20:41",2932.8,6641.7,29.9,https://archive.org/details/CNNW_20161020_023000_Debate_Night_in_America#start/6641.7/end/6671.6,">> SECRETARY CLINTON. >> BY BUYING AMERICAN PRODUCTS. >> I ASKED THE SIMPLE QUESTION. SHE'S BEEN DOING THIS FOR 30 YEARS, WHY THE HELL DIDN'T YOU DO IT OVER THE LAST 15, 20 YEARS. YOU WERE VERY MUCH INVOLVED -- EXCUSE ME, MY TURN. YOU WERE VERY MUCH INVOLVED IN EVERY ASPECT OF THIS COUNTRY VERY MUCH. YOU DO HAVE EXPERIENCE. I SAY ONE THING YOU HAVE OVER ME IS EXPERIENCE, BUT IT'S BAD EXPERIENCE. BECAUSE WHAT YOU'VE DONE HAS TURNED OUT BADLY. FOR 30 YEARS YOU'VE BEEN POSITION HELP, IF YOU SAY THAT I USE STEEL OR I USE SOMETHING"
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/20/2016 04:25:47",2972.7,6947,8.1,https://archive.org/details/CNNW_20161020_023000_Debate_Night_in_America#start/6947/end/6955.1,"JUST LIKE WHEN YOU RAN THE STATE DEPARTMENT, $6 BILLION WAS MISSING. HOW DO YOU MISS $6 BILLION? U RAN THE STATE DEPARTMENT."
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/20/2016 04:36:43",4007.9,7603.2,18.9,https://archive.org/details/CNNW_20161020_023000_Debate_Night_in_America#start/7603.2/end/7622.1,"ABSOLUTELY, SIR, THAT YOU WILL ABSOLUTELY ACCEPT THE RESULT OF THIS ELECTION. >> I WILL LOOK AT IT AT THE TIME. I'M NOT LOOKING AT ANYTHING NOW. I'LL LOOK AT IT AT THE TIME. WHAT I'VE SEEN, WHAT I'VE SEEN IS SO BAD. FIRST OF ALL THE MEDIA IS SO DISHONEST AND SO CORRUPT AND PIE ON SO AMAZING ARE ""NEW YORK TIMES"" WROTE AN ARTICLE, BUT"
