start_second,duration,coverage_count,programs,match_url,transcript
1014,21,1,CNNW_20161020_023000_Debate_Night_in_America,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1014/end/1035,"PLANNED PARENTHOOD. I WILL DEFEND PLANNED PARENTHOOD. I WILL DEFEND ROE V. WADE AND DEFEND WOMEN'S RIGHTS TO MAKE THEIR OWN HEALTHCARE DECISIONS. WE HAVE COME TOO FAR TO HAVE THAT TURNED BACK NOW. INDEED HE SAID WOMEN SHOULD BE PUNISHED, THAT THERE SHOULD BE SOME FORM OF PUNISHMENT FOR"
1119,29,1,FOXNEWSW_20161020_010000_Presidential_Candidates_Debate,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1119/end/1148,"HEALTH OF THE MOTHER TAKEN INTO ACCOUNT. >> MR. TRUMP, YOUR REACTION, PARTICULARLY ON THIS ISSUE OF LATE-TERM PER SHALL BIRTH -- >> I THINK IT'S TERRIBLE IF YOU GO WITH WHAT HILLARY IS SAYING IN THE 9th MONTH YOU CAN TAKE THE BABY AND RIP THE BABY OUT OF THE WOMB OF THE MOTHER JUST PRIOR TO THE BIRTH OF THE BABY. NOW, YOU CAN SAY THAT THAT'S OKAY AND HILLARY CAN SAY THAT THAT'S OKAY. BUT IT'S NOT OKAY WITH ME. BECAUSE BASED ON WHAT SHE IS SAYING BASED ON WHERE SHE'S GOING AND WHERE SHE'S BEEN, YOU"
1359,8,1,CNNW_20161020_023000_Debate_Night_in_America,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1359/end/1367,"BAD, BAD PEOPLE IN THIS COUNTRY THAT HAVE TO GO OUT. WE'RE GOING TO GET THEM OUT WE'RE GOING TO SECURITY BORDER AND ONCE THE BORDER IS SECURED AT A LATER DATE MAKE"
1476,1,1,FOXNEWSW_20161020_030000_The_Kelly_File,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1476/end/1477,"PERSON, ANYBODY WHO SHOULD BE"
1477,5,2,"KPIX_20161020_010000_CBS_News_The_Third_Presidential_Debate, FOXNEWSW_20161020_030000_The_Kelly_File",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1477/end/1482,"PERSON, ANYBODY WHO SHOULD BE DEPORTED WE SHOULD DEPORT THEM. WHEN IT COMES TO THE WALL THAT DONALD TALKS ABOUT BUILDING, HE"
1482,1,1,KPIX_20161020_010000_CBS_News_The_Third_Presidential_Debate,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1482/end/1483,"DONALD TALKS ABOUT BUILDING, HE WENT TO MEXICO, HAD A MEETING"
1523,13,1,FOXNEWSW_20161020_030000_The_Kelly_File,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1523/end/1536,"HUSBAND IS ONE OF THE WORST DEALS OF ANY KIND SIGNED BY ANYBODY, IT'S A DISASTER. HILLARY CLINTON WANTED THE WALL. HILLARY CLINTON FOUGHT FOR THE WALL. IN 2006 OR THEREABOUTS. NOW, SHE NEVER GETS ANYTHING"
1592,9,1,CNNW_20161020_023000_Debate_Night_in_America,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1592/end/1601,"CAN'T EXPLOIT THEM AND UNDERCUT AMERICAN WAGES DONALD KNOWS A LOT ABOUT THIS HE USED UDOCUMENTED LABOR TO BUILD THE TRUMP TOWER. HE UNDERPAID UNDOCUMENTED"
1656,10,1,CNNW_20161020_023000_Debate_Night_in_America,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1656/end/1666,"BECOME CITIZENS, VERY UNFAIR THAT SOMEBODY RUNS ACROSS THE BORDER, BECOMES A CITIZEN UNDER HER PLAN YOU HAVE OPEN BORDERS, YOU WOULD HAVE A DISASTER ON TRADE, YOU WILL HAVE A DISASTER WITH YOUR OPEN BOARDERS."
1775,16,1,FBC_20161020_030000_Cavuto_Coast_to_Coast,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1775/end/1791,"INTELLIGENCE AGENCIES HAVE CONFIRMED TO INFLUENCE OUR ELECTION. I ACTUALLY THINK THE MOST IMPORTANT QUESTION OF THIS EVENING, CHRIS, IS FINALLY WILL DONALD TRUMP ADMIT AND CONDEMN THAT THE RUSSIANS ARE DOING THIS. AND MAKE IT CLEAR THAT HE WILL"
1880,3,1,FOXNEWSW_20161020_010000_Presidential_Candidates_Debate,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1880/end/1883,"THEY EXPANDED WE DIDN'T."
1883,4,3,"FOXNEWSW_20161020_010000_Presidential_Candidates_Debate, MSNBCW_20161020_040000_MSNBC_Live_Post_Debate, CNBC_20161020_023000_Jay_Lenos_Garage",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1883/end/1887,"PLAYING CHICKEN."
1887,7,4,"FOXNEWSW_20161020_010000_Presidential_Candidates_Debate, FOXNEWSW_20161020_030000_The_Kelly_File, MSNBCW_20161020_040000_MSNBC_Live_Post_Debate, CNBC_20161020_023000_Jay_Lenos_Garage",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1887/end/1894,"PLAYING CHICKEN. LOOK PUTIN FROM EVERYTHING I SEE HAVE 240 RESPECT FOR THIS PERSON. >> THAT'S BECAUSE HE'D RATHER"
1894,1,3,"FOXNEWSW_20161020_030000_The_Kelly_File, MSNBCW_20161020_040000_MSNBC_Live_Post_Debate, CNBC_20161020_023000_Jay_Lenos_Garage",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1894/end/1895,"PERSON. >> THAT'S BECAUSE HE'D RATHER HAVE A PUPPET AS PRESIDENT."
1895,2,2,"MSNBCW_20161020_040000_MSNBC_Live_Post_Debate, CNBC_20161020_023000_Jay_Lenos_Garage",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1895/end/1897,"HAVE A PUPPET AS PRESIDENT. >> NO PUPPET."
1897,10,1,MSNBCW_20161020_040000_MSNBC_Live_Post_Debate,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1897/end/1907,">> IT'S PRETTY CLEAR -- YOU'RE THE PUPPET. >> IT'S CLEAR YOU WON'T ADMIT -- >>  YOU'RE THE PUPPET. >> RUSSIANS HAVE ENGAGED IN CYBERATTACKS AGAINST THE UNITED STATES OF AMERICA BUT YOU"
1907,6,2,"FOXNEWSW_20161020_030000_The_Kelly_File, MSNBCW_20161020_040000_MSNBC_Live_Post_Debate",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1907/end/1913,"ENCOURAGE ESPYIANAGE AGAINST OUR PEOPLE THAT YOU ARE WILLING TO"
