debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 12:17:59",679.4,4679.9,15.6,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/4679.9/end/4695.5,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 12:03:49",1125,3829.8,12.6,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/3829.8/end/3842.4,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 12:04:12",1191.5,3852.4,8.5,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/3852.4/end/3860.9,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 12:18:44",1335.7,4724.5,12.6,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/4724.5/end/4737.1,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 11:08:24",1523.9,504.9,4.2,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/504.9/end/509.1,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 12:02:32",1603.6,3752.2,8.3,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/3752.2/end/3760.5,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 11:06:16",1805.6,376.5,4.7,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/376.5/end/381.2,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 11:06:23",1889.5,383,6.9,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/383/end/389.9,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 11:08:03",1960.3,483.9,7.6,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/483.9/end/491.5,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 12:17:12",2967.4,4632.4,21.5,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/4632.4/end/4653.9,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 11:09:18",3281.6,558,7.5,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/558/end/565.5,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 11:05:49",3316.6,349.4,10.5,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/349.4/end/359.9,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 11:06:41",3942.3,401.9,6.2,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/401.9/end/408.1,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 12:04:23",4087,3863.2,9.6,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/3863.2/end/3872.8,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 11:30:24",4107.4,1824.3,3.6,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/1824.3/end/1827.9,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 12:04:36",4107.5,3876.3,3.6,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/3876.3/end/3879.9,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 12:16:18",4167.1,4578.2,12.1,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/4578.2/end/4590.3,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 12:02:49",5435.4,3769.8,21,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/3769.8/end/3790.8,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KYW_20161020_110000_CBS_This_Morning,KYW,CBS,Philadelphia,local,CBS_This_Morning,"10/20/2016 12:03:14",5527.5,3794.8,16.3,https://archive.org/details/KYW_20161020_110000_CBS_This_Morning#start/3794.8/end/3811.1,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_090000_New_Day,CNNW,CNN,SF/Oakland/SJ,cable,New_Day,"10/20/2016 09:32:47",942.2,1967.7,8.9,https://archive.org/details/CNNW_20161020_090000_New_Day#start/1967.7/end/1976.6,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_090000_New_Day,CNNW,CNN,SF/Oakland/SJ,cable,New_Day,"10/20/2016 09:52:03",1014.4,3123.2,19.2,https://archive.org/details/CNNW_20161020_090000_New_Day#start/3123.2/end/3142.4,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_090000_New_Day,CNNW,CNN,SF/Oakland/SJ,cable,New_Day,"10/20/2016 09:02:29",1140.8,149.2,31,https://archive.org/details/CNNW_20161020_090000_New_Day#start/149.2/end/180.2,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161020_090000_New_Day,CNNW,CNN,SF/Oakland/SJ,cable,New_Day,"10/20/2016 09:20:57",1156,1257.9,16.6,https://archive.org/details/CNNW_20161020_090000_New_Day#start/1257.9/end/1274.5,
