start_second,duration,coverage_count,programs,match_url,transcript
679,16,1,KYW_20161020_110000_CBS_This_Morning,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/679/end/695,
942,10,1,CNNW_20161020_090000_New_Day,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/942/end/952,
1014,20,1,CNNW_20161020_090000_New_Day,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1014/end/1034,
1125,13,1,KYW_20161020_110000_CBS_This_Morning,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1125/end/1138,
1140,16,3,"CNNW_20161020_090000_New_Day, CNNW_20161020_120000_New_Day, CNNW_20161020_100000_New_Day",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1140/end/1156,
1156,16,5,"CNNW_20161020_090000_New_Day, CNNW_20161020_090000_New_Day, CNNW_20161020_120000_New_Day, CNNW_20161020_100000_New_Day, CNNW_20161020_110000_New_Day",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1156/end/1172,
1172,1,3,"CNNW_20161020_090000_New_Day, CNNW_20161020_120000_New_Day, CNNW_20161020_100000_New_Day",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1172/end/1173,
1173,1,2,"CNNW_20161020_120000_New_Day, CNNW_20161020_100000_New_Day",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1173/end/1174,
1191,9,1,KYW_20161020_110000_CBS_This_Morning,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1191/end/1200,
1307,12,1,FOXNEWSW_20161020_100000_FOX__Friends,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1307/end/1319,
1335,8,1,KYW_20161020_110000_CBS_This_Morning,https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1335/end/1343,
1343,4,2,"KYW_20161020_110000_CBS_This_Morning, FOXNEWSW_20161020_100000_FOX__Friends",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1343/end/1347,
1347,5,3,"FOXNEWSW_20161020_100000_FOX__Friends, FOXNEWSW_20161020_100000_FOX__Friends, WPVI_20161020_110000_Good_Morning_America",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1347/end/1352,
1352,1,4,"CNNW_20161020_110000_New_Day, FOXNEWSW_20161020_100000_FOX__Friends, FOXNEWSW_20161020_100000_FOX__Friends, WPVI_20161020_110000_Good_Morning_America",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1352/end/1353,
1353,2,3,"CNNW_20161020_110000_New_Day, FOXNEWSW_20161020_100000_FOX__Friends, WPVI_20161020_110000_Good_Morning_America",https://archive.org/details/KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/1353/end/1355,
