debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 09:49:13",1365.4,2953.5,2.2,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/2953.5/end/2955.7,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 10:03:35",1475.6,3815,6.5,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/3815/end/3821.5,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 10:48:36",1475.7,6516.9,6.2,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/6516.9/end/6523.1,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 09:03:15",1889,195.6,8,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/195.6/end/203.6,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 09:49:32",1889,2972.2,6.7,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/2972.2/end/2978.9,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 10:48:52",1889,6532.7,6.3,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/6532.7/end/6539,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 09:48:07",1910.7,2887.8,99.5,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/2887.8/end/2987.3,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 10:49:14",2903.9,6554.3,2,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/6554.3/end/6556.3,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 09:32:13",3037.5,1933.8,7.7,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/1933.8/end/1941.5,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 10:32:59",3039,5579.1,6.6,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/5579.1/end/5585.7,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 10:33:40",3198,5620,7,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/5620/end/5627,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 09:33:09",3245.9,1989.7,5.9,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/1989.7/end/1995.6,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 10:33:54",3246.6,5634.3,3.1,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/5634.3/end/5637.4,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 09:33:20",3316.6,2000.5,2.2,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/2000.5/end/2002.7,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 10:33:15",4119,5595.1,4.1,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/5595.1/end/5599.2,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 09:32:37",4149.1,1957.7,7.1,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/1957.7/end/1964.8,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 10:33:21",4149.5,5601.9,5.8,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/5601.9/end/5607.7,
KQED_20161020_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WHDH_20161020_090000_7News_Today_in_New_England,WHDH,NBC,Boston,local,7News_Today_in_New_England,"10/20/2016 10:44:39",4161.3,6279,4.1,https://archive.org/details/WHDH_20161020_090000_7News_Today_in_New_England#start/6279/end/6283.1,
