debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
PolAd_DonaldTrump_HillaryClinton_xz04u,KNXV_20161008_050000_ABC15_News_at_10PM,KNXV,ABC,Phoenix,local,ABC15_News_at_10PM,"10/08/2016 05:00:52",0.9,52.7,17.2,https://archive.org/details/KNXV_20161008_050000_ABC15_News_at_10PM#start/52.7/end/69.9,
PolAd_DonaldTrump_HillaryClinton_xz04u,KNXV_20161008_040100_2020,KNXV,ABC,Phoenix,local,2020,"10/08/2016 05:00:52",0.9,3592.5,5.2,https://archive.org/details/KNXV_20161008_040100_2020#start/3592.5/end/3597.7,
PolAd_DonaldTrump_HillaryClinton_xz04u,KUSA_20161008_040000_9News_at_10pm,KUSA,NBC,Denver,local,9News_at_10pm,"10/08/2016 04:21:21",1,1281,84.4,https://archive.org/details/KUSA_20161008_040000_9News_at_10pm#start/1281/end/1365.4,
PolAd_DonaldTrump_HillaryClinton_xz04u,WISN_20161008_120000_WISN_12_News_This_WeekendSaturday,WISN,ABC,Milwaukee,local,WISN_12_News_This_WeekendSaturday,"10/08/2016 13:31:47",1,5507.3,21,https://archive.org/details/WISN_20161008_120000_WISN_12_News_This_WeekendSaturday#start/5507.3/end/5528.3,
PolAd_DonaldTrump_HillaryClinton_xz04u,KVVU_20161008_050000_FOX5_News_at_1000pm,KVVU,FOX,"Las Vegas",local,FOX5_News_at_1000pm,"10/08/2016 05:36:52",1,2212.1,14.5,https://archive.org/details/KVVU_20161008_050000_FOX5_News_at_1000pm#start/2212.1/end/2226.6,
PolAd_DonaldTrump_HillaryClinton_xz04u,KCNC_20161008_063700_CBS4_News_Repeat,KCNC,CBS,Denver,local,CBS4_News_Repeat,"10/08/2016 06:54:21",1,1041,80.3,https://archive.org/details/KCNC_20161008_063700_CBS4_News_Repeat#start/1041/end/1121.3,
PolAd_DonaldTrump_HillaryClinton_xz04u,CNNW_20161009_120000_Inside_Politics,CNNW,CNN,SF/Oakland/SJ,cable,Inside_Politics,"10/09/2016 12:00:40",1,40.3,2.3,https://archive.org/details/CNNW_20161009_120000_Inside_Politics#start/40.3/end/42.6,
PolAd_DonaldTrump_HillaryClinton_xz04u,CNNW_20161009_120000_Inside_Politics,CNNW,CNN,SF/Oakland/SJ,cable,Inside_Politics,"10/09/2016 12:31:32",7.1,1892.1,9.1,https://archive.org/details/CNNW_20161009_120000_Inside_Politics#start/1892.1/end/1901.2,
PolAd_DonaldTrump_HillaryClinton_xz04u,CNNW_20161009_120000_Inside_Politics,CNNW,CNN,SF/Oakland/SJ,cable,Inside_Politics,"10/09/2016 12:02:36",47.4,156.5,9.6,https://archive.org/details/CNNW_20161009_120000_Inside_Politics#start/156.5/end/166.1,
PolAd_DonaldTrump_HillaryClinton_xz04u,MSNBCW_20161008_210000_Citizen_Trump_With_Chris_Matthews,MSNBCW,MSNBC,SF/Oakland/SJ,cable,Citizen_Trump_With_Chris_Matthews,"10/08/2016 21:01:42",1.1,102.8,15.1,https://archive.org/details/MSNBCW_20161008_210000_Citizen_Trump_With_Chris_Matthews#start/102.8/end/117.9,
PolAd_DonaldTrump_HillaryClinton_xz04u,MSNBCW_20161008_210000_Citizen_Trump_With_Chris_Matthews,MSNBCW,MSNBC,SF/Oakland/SJ,cable,Citizen_Trump_With_Chris_Matthews,"10/08/2016 21:53:12",3.3,3192.4,16.9,https://archive.org/details/MSNBCW_20161008_210000_Citizen_Trump_With_Chris_Matthews#start/3192.4/end/3209.3,
PolAd_DonaldTrump_HillaryClinton_xz04u,WKYC_20161008_100000_Channel_3_News_Saturday,WKYC,NBC,Cleavland,local,Channel_3_News_Saturday,"10/08/2016 10:04:37",1.1,277.1,8.5,https://archive.org/details/WKYC_20161008_100000_Channel_3_News_Saturday#start/277.1/end/285.6,
PolAd_DonaldTrump_HillaryClinton_xz04u,WKYC_20161008_100000_Channel_3_News_Saturday,WKYC,NBC,Cleavland,local,Channel_3_News_Saturday,"10/08/2016 10:04:49",77.2,289.1,8.2,https://archive.org/details/WKYC_20161008_100000_Channel_3_News_Saturday#start/289.1/end/297.3,
PolAd_DonaldTrump_HillaryClinton_xz04u,KSAZ_20161008_080000_FOX_10_News__10pm,KSAZ,FOX,Phoenix,local,FOX_10_News__10pm,"10/08/2016 08:13:45",1.2,825.7,14.4,https://archive.org/details/KSAZ_20161008_080000_FOX_10_News__10pm#start/825.7/end/840.1,
PolAd_DonaldTrump_HillaryClinton_xz04u,MSNBCW_20161008_120000_The_Place_for_Politics_2016,MSNBCW,MSNBC,SF/Oakland/SJ,cable,The_Place_for_Politics_2016,"10/08/2016 12:02:17",1.2,137.7,15,https://archive.org/details/MSNBCW_20161008_120000_The_Place_for_Politics_2016#start/137.7/end/152.7,
PolAd_DonaldTrump_HillaryClinton_xz04u,MSNBCW_20161008_120000_The_Place_for_Politics_2016,MSNBCW,MSNBC,SF/Oakland/SJ,cable,The_Place_for_Politics_2016,"10/08/2016 12:22:01",18.1,1321.5,2.3,https://archive.org/details/MSNBCW_20161008_120000_The_Place_for_Politics_2016#start/1321.5/end/1323.8,
PolAd_DonaldTrump_HillaryClinton_xz04u,MSNBCW_20161008_120000_The_Place_for_Politics_2016,MSNBCW,MSNBC,SF/Oakland/SJ,cable,The_Place_for_Politics_2016,"10/08/2016 12:02:34",52.8,154.5,14,https://archive.org/details/MSNBCW_20161008_120000_The_Place_for_Politics_2016#start/154.5/end/168.5,
PolAd_DonaldTrump_HillaryClinton_xz04u,CNNW_20161008_190000_CNN_Newsroom_With_Poppy_Harlow,CNNW,CNN,SF/Oakland/SJ,cable,CNN_Newsroom_With_Poppy_Harlow,"10/08/2016 19:02:07",1.2,127.7,18.3,https://archive.org/details/CNNW_20161008_190000_CNN_Newsroom_With_Poppy_Harlow#start/127.7/end/146,
