second,coverage_count,transcript,link
0,2,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/0/end/60
1,31,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/1/end/61
2,36,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/2/end/62
3,53,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/3/end/63
4,52,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/4/end/64
5,86,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/5/end/65
6,95,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/6/end/66
7,98,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/7/end/67
8,127,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/8/end/68
9,128,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/9/end/69
10,123,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/10/end/70
11,123,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/11/end/71
12,124,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/12/end/72
13,207,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/13/end/73
14,218,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/14/end/74
15,219,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/15/end/75
16,198,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/16/end/76
17,217,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/17/end/77
18,223,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/18/end/78
19,210,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/19/end/79
20,168,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/20/end/80
21,35,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/21/end/81
22,33,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/22/end/82
23,33,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/23/end/83
24,33,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/24/end/84
25,33,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/25/end/85
26,33,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/26/end/86
27,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/27/end/87
28,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/28/end/88
29,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/29/end/89
30,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/30/end/90
31,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/31/end/91
32,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/32/end/92
33,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/33/end/93
34,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/34/end/94
35,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/35/end/95
36,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/36/end/96
37,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/37/end/97
38,32,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/38/end/98
39,34,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/39/end/99
40,41,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/40/end/100
41,41,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/41/end/101
42,41,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/42/end/102
43,41,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/43/end/103
44,41,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/44/end/104
45,60,,https://archive.org/details/PolAd_DonaldTrump_HillaryClinton_xz04u#start/45/end/105
