debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
PolAd_DonaldTrump_z40lb,KUSA_20161010_050000_Meet_the_Press,KUSA,NBC,Denver,local,Meet_the_Press,"10/10/2016 05:06:51",0.8,411,26,https://archive.org/details/KUSA_20161010_050000_Meet_the_Press#start/411/end/437,"LET'S ROLL THE TAP. >> I MOVED ON HER, YOU KNOW, SHE WAS DOWN IN PALM BEACH. I MOVED ON HER AND I FAILED. I'LL ADMIT IT. I DID TRY TO [ BLEEP ] HER. SHE WAS MARRIED. I MOVED ON HER VERY HEAVILY. IN FACT I TOOK HER OUT FURNITURE SHOPPING, I SAID I'LL SHOW YOU WHERE THEY HAVE NIGHT FURNITURE. I MOVED ON HER LIKE A BITCH."
PolAd_DonaldTrump_z40lb,MSNBCW_20161009_180000_Meet_the_Press,MSNBCW,MSNBC,SF/Oakland/SJ,cable,Meet_the_Press,"10/09/2016 18:02:02",0.8,122.2,23.6,https://archive.org/details/MSNBCW_20161009_180000_Meet_the_Press#start/122.2/end/145.8,"LET'S ROLL THE TAP. >> I MOVED ON HER, YOU KNOW, SHE WAS DOWN IN PALM BEACH. I MOVED ON HER AND I FAILED. I'LL ADMIT IT. I DID TRY TO [ BLEEP ] HER. SHE WAS MARRIED. I MOVED ON HER VERY HEAVILY. IN FACT I TOOK HER OUT FURNITURE SHOPPING, I SAID I'LL SHOW YOU WHERE THEY HAVE NIGHT FURNITURE."
PolAd_DonaldTrump_z40lb,MSNBCW_20161009_180000_Meet_the_Press,MSNBCW,MSNBC,SF/Oakland/SJ,cable,Meet_the_Press,"10/09/2016 18:02:30",64,150.3,10.1,https://archive.org/details/MSNBCW_20161009_180000_Meet_the_Press#start/150.3/end/160.4,">> BETTER NOT BE. >> YEAH IT'S HER. >> YEAH IT'S HER. I GOT TO GET SOME TIC-TACs IN CASE I START KISSING HER."
PolAd_DonaldTrump_z40lb,WHDH_20161010_053000_Dateline_NBC,WHDH,NBC,Boston,local,Dateline_NBC,"10/10/2016 06:29:04",0.9,3544.5,25.9,https://archive.org/details/WHDH_20161010_053000_Dateline_NBC#start/3544.5/end/3570.4,"LET'S ROLL THE TAP. >> I MOVED ON HER, YOU KNOW, SHE WAS DOWN IN PALM BEACH. I MOVED ON HER AND I FAILED. I'LL ADMIT IT. I DID TRY TO [ BLEEP ] HER. SHE WAS MARRIED. I MOVED ON HER VERY HEAVILY. IN FACT I TOOK HER OUT FURNITURE SHOPPING, I SAID I'LL SHOW YOU WHERE THEY HAVE NIGHT FURNITURE. I MOVED ON HER LIKE A BITCH."
PolAd_DonaldTrump_z40lb,WHDH_20161010_053000_Dateline_NBC,WHDH,NBC,Boston,local,Dateline_NBC,"10/10/2016 06:29:31",63.3,3571.9,10.8,https://archive.org/details/WHDH_20161010_053000_Dateline_NBC#start/3571.9/end/3582.7,">> BETTER NOT BE. >> YEAH IT'S HER. >> YEAH IT'S HER. I GOT TO GET SOME TIC-TACs IN CASE I START KISSING HER."
PolAd_DonaldTrump_z40lb,KSNV_20161010_093000_Meet_the_Press,KSNV,NBC,"Las Vegas",local,Meet_the_Press,"10/10/2016 09:30:07",0.9,7.3,25.8,https://archive.org/details/KSNV_20161010_093000_Meet_the_Press#start/7.3/end/33.1,"LET'S ROLL THE TAP. >> I MOVED ON HER, YOU KNOW, SHE WAS DOWN IN PALM BEACH. I MOVED ON HER AND I FAILED. I'LL ADMIT IT. I DID TRY TO [ BLEEP ] HER. SHE WAS MARRIED. I MOVED ON HER VERY HEAVILY. IN FACT I TOOK HER OUT FURNITURE SHOPPING, I SAID I'LL SHOW YOU WHERE THEY HAVE NIGHT FURNITURE. I MOVED ON HER LIKE A BITCH."
PolAd_DonaldTrump_z40lb,KSNV_20161010_093000_Meet_the_Press,KSNV,NBC,"Las Vegas",local,Meet_the_Press,"10/10/2016 09:30:41",70.4,41.7,3.5,https://archive.org/details/KSNV_20161010_093000_Meet_the_Press#start/41.7/end/45.2,
PolAd_DonaldTrump_z40lb,KSNV_20161010_083000_Dateline_NBC,KSNV,NBC,"Las Vegas",local,Dateline_NBC,"10/10/2016 09:30:06",0.9,3606.5,23,https://archive.org/details/KSNV_20161010_083000_Dateline_NBC#start/3606.5/end/3629.5,"LET'S ROLL THE TAP. >> I MOVED ON HER, YOU KNOW, SHE WAS DOWN IN PALM BEACH. I MOVED ON HER AND I FAILED. I'LL ADMIT IT. I DID TRY TO [ BLEEP ] HER. SHE WAS MARRIED. I MOVED ON HER VERY HEAVILY. IN FACT I TOOK HER OUT FURNITURE SHOPPING, I SAID I'LL SHOW YOU WHERE THEY HAVE NIGHT FURNITURE."
PolAd_DonaldTrump_z40lb,KSNV_20161010_083000_Dateline_NBC,KSNV,NBC,"Las Vegas",local,Dateline_NBC,"10/10/2016 09:30:37",67.3,3637.8,6.2,https://archive.org/details/KSNV_20161010_083000_Dateline_NBC#start/3637.8/end/3644,">> YEAH IT'S HER. I GOT TO GET SOME TIC-TACs IN"
PolAd_DonaldTrump_z40lb,KNTV_20161009_150000_Meet_the_Press,KNTV,NBC,SF/Oakland/SJ,local,Meet_the_Press,"10/09/2016 15:01:57",0.9,117.1,24.4,https://archive.org/details/KNTV_20161009_150000_Meet_the_Press#start/117.1/end/141.5,"LET'S ROLL THE TAP. >> I MOVED ON HER, YOU KNOW, SHE WAS DOWN IN PALM BEACH. I MOVED ON HER AND I FAILED. I'LL ADMIT IT. I DID TRY TO [ BLEEP ] HER. SHE WAS MARRIED. I MOVED ON HER VERY HEAVILY. IN FACT I TOOK HER OUT FURNITURE SHOPPING, I SAID I'LL SHOW YOU WHERE THEY HAVE NIGHT FURNITURE. I MOVED ON HER LIKE A BITCH."
