second,coverage_count,transcript,link
0,11,"LET'S ROLL THE TAP. >> I MOVED ON HER, YOU KNOW, SHE",https://archive.org/details/PolAd_DonaldTrump_z40lb#start/0/end/60
1,22,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/1/end/61
2,24,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/2/end/62
3,24,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/3/end/63
4,24,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/4/end/64
5,32,">> I MOVED ON HER, YOU KNOW, SHE WAS DOWN IN PALM BEACH. I MOVED ON HER AND I FAILED.",https://archive.org/details/PolAd_DonaldTrump_z40lb#start/5/end/65
6,35,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/6/end/66
7,44,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/7/end/67
8,73,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/8/end/68
9,100,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/9/end/69
10,108,"I'LL ADMIT IT. I DID TRY TO [ BLEEP ] HER. SHE WAS MARRIED.",https://archive.org/details/PolAd_DonaldTrump_z40lb#start/10/end/70
11,118,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/11/end/71
12,132,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/12/end/72
13,138,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/13/end/73
14,138,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/14/end/74
15,141,"SHE WAS MARRIED. I MOVED ON HER VERY HEAVILY. IN FACT I TOOK HER OUT FURNITURE",https://archive.org/details/PolAd_DonaldTrump_z40lb#start/15/end/75
16,142,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/16/end/76
17,140,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/17/end/77
18,129,,https://archive.org/details/PolAd_DonaldTrump_z40lb#start/18/end/78
