debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:35:08",670.7,2108.5,10.7,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/2108.5/end/2119.2,"THAT'S A SHARP CONTRAST WITH DONALD TRUMP. DONALD TRUMP ALWAYS PUTS HIMSELF FIRST. HE BUILT A BUSINESS CAREER IN THE WORDS ONE OF HIS OWN CAMPAIGN STAFFERS, OFF THE BACKS OF THE LITTLE GUY, THAT IS A"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:05:24",792.3,324.8,6.4,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/324.8/end/331.2,"A TIME OF GREAT CHALLENGE, IN THE LIFE OF THIS NATION, WHERE WE HAVE WEAKENED AMERICA'S PLACE IN THE WORLD."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:35:25",793.4,2125.8,5,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/2125.8/end/2130.8,"THE LIFE OF THIS NATION, WHERE WE HAVE WEAKENED AMERICA'S PLACE IN THE WORLD."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:42:11",840.6,2531.8,5.3,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/2531.8/end/2537.1,"GOVERNMENTS -- >> YOU AND DONALD TRUMP -- LET ME TALK ABOUT THIS --"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:04:42",915.9,282.6,7.4,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/282.6/end/290,">> ELIMINATE THE IRANIAN -- ABSOLUTELY. WITHOUT FIRING A SHOT. INSTEAD OF 175,000 AMERICAN TROOPS DEPLOYED OVERSEAS NOW WE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:34:43",916.5,2083.1,6.5,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/2083.1/end/2089.6,"ABSOLUTELY. WITHOUT FIRING A SHOT. INSTEAD OF 175,000 AMERICAN TROOPS DEPLOYED OVERSEAS NOW WE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:34:04",1083.9,2044,14.5,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/2044/end/2058.5,"HILLARY CLINTON JUST THINKS IT'S A GOOD START. DONALD TRUMP AND I HAVE PLAN TO GET THIS ECONOMY MOVING AGAIN. JUST THE WAY THAT IT WORKED IN THE 1980s, JUST THE WAY IT WORKED IN THE 1960s. THAT IS BY LOWERING TAXES ACROSS THE BOARD FOR WORKING FAMILIES,"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:33:56",1141.2,2036.5,4.5,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/2036.5/end/2041,">> SENATOR. I ON THE ECONOMY THERE'S A FUNDAMENTAL CHOICE FOR THE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:34:54",1210.1,2094,5.6,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/2094/end/2099.6,"THERE'S TWO KEY ELEMENTS TO IT. FIRST, DONALD TRUMP SAID WAGES"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:48:12",1320.1,2892,29.6,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/2892/end/2921.6,"THE TRUTH OF THE MATTER IS THAT POLICIES OF THIS ADMINISTRATION WHICH HILLARY CLINTON AND SENATOR KAINE WANT TO CONTINUE HAVE RUN THIS ECONOMY INTO A DITCH. WE'RE -- >> IN NEW JOBS? >> SINCE THE GREAT JOBS? >> BUT MY QUESTION -- MILLIONS MORE PEOPLE LIVING IN POVERTY TODAY THAN THE DAY THAT BARACK OBAMA WITH HILLARY CLINTON AT HIS SIDE -- >> AND THE POVERTY LEVEL AND MEDIAN INCOME -- >> WERE THE LOWEST IN -- IN 2014 -- HONESTLY, SENATOR, YOU CAN ROLL OUT THE NUMBERS AND THE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:02:27",1418.3,147.3,12.2,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/147.3/end/159.5,"ABOUT BUSINESS THING. IS -- >> I DO WANT TO COME BACK TO THAT. >> HIS TAX RETURNS, SHOWED HE WENT THROUGH A VERY DIFFICULT TIME USED THE TAX CODE JUST THE WAY IT'S SUPPOSED TO BE USED HE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:59:54",1418.7,3594.5,10.7,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/3594.5/end/3605.2,"ABOUT BUSINESS THING. IS -- >> I DO WANT TO COME BACK TO THAT. >> HIS TAX RETURNS, SHOWED HE WENT THROUGH A VERY DIFFICULT TIME USED THE TAX CODE JUST THE WAY IT'S SUPPOSED TO BE USED HE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 10:00:02",1448.8,3602.8,10.4,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/3602.8/end/3613.2,"PAY -- >> LET ME TALK ABOUT THAT. >> SENATOR I'LL GIVE YOU 30 SECONDS IS TO RESPOND TO THE QUESTION -- >> GOING TO RAISE TAXES AND WE'RE GOING TO CUT THEM. >> DONALD TRUMP STARTED THIS CAMPAIGN IN 2014 HE SAID IF I"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:03:02",1588.2,182.7,7.8,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/182.7/end/190.5,"NOT DO. I WANT TO MAKE? VERY PLAIN. WE WILL NEVER, EVER ENGAGE IN RISKY SCHEME TO PRIVATIZE SOCIAL"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:03:21",2878,201.9,16.4,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/201.9/end/218.3,"TOGETHER WITH ISRAEL IF THEY PAY BIG. THIRD, HE LOVES DICTATORS. A PERSONAL MOUNT RUSH MORE, VLADIMIR PUTIN, MOAMMAR GENTLEMAN DAVE DEAND SADDAM"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:33:21",2878.2,2001.9,14.9,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/2001.9/end/2016.8,"BIG. THIRD, HE LOVES DICTATORS. A PERSONAL MOUNT RUSH MORE, VLADIMIR PUTIN, MOAMMAR GENTLEMAN DAVE DEAND SADDAM"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:03:40",2930,220.1,12.3,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/220.1/end/232.4,"VERY CLEAR TO THE AMERICAN PEOPLE. AFTER TRAVELING MILLIONS OF MILES OF SECRETARY OF STATE. ARCHITECT OF THE FOREIGN POLICY OF THIS ADMINISTRATION, AMERICA IS LESS SAFE TODAY THAN IT WAS"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:47:15",3709.5,2835.6,3.2,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/2835.6/end/2838.8,"GOVERNOR PENCE -- >> IT OFFENDS ME."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:02:43",3789,163.7,15.9,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/163.7/end/179.6,"HOW WOULD YOU KEEP IT SAFE? >> FIRST AND FOREMOST DONALD TRUMP SUPPORTS OUR TROOPS. DONALD TRUMP SUPPORTS OUR VETERANS. >> HE WON'T PAY TAXES. >> DONALD TRUMP HAS PAID ALL THE TAXES THAT HE'S -- DO YOU NOT TAKE THE -- >> THE QUESTION IS ABOUT -- I'D LIKE TO --"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:47:24",3789,2844.1,16.4,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/2844.1/end/2860.5,"HOW WOULD YOU KEEP IT SAFE? >> FIRST AND FOREMOST DONALD TRUMP SUPPORTS OUR TROOPS. DONALD TRUMP SUPPORTS OUR VETERANS. >> HE WON'T PAY TAXES. >> DONALD TRUMP HAS PAID ALL THE TAXES THAT HE'S -- DO YOU NOT TAKE THE -- >> THE QUESTION IS ABOUT -- I'D LIKE TO -- >> IT IS ABOUT OUR TROOPS."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:00:18",4236.9,18.9,8.2,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/18.9/end/27.1,">> THANKS. JUST TRYING TO KEEP UP WITH THE INSULT-DRIVEN CAMPAIGN ONMENT OTHER SIDE OF THE -- >> I'M JUST SAYING FACTS ABOUT YOUR RUNNING MATE."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,FBC_20161005_090000_FBN_AM,FBC,"FOX Business",SF/Oakland/SJ,cable,FBN_AM,"10/16/2016 09:30:26",4238.3,1826.5,16,https://archive.org/details/FBC_20161005_090000_FBN_AM#start/1826.5/end/1842.5,">> THANKS. JUST TRYING TO KEEP UP WITH THE INSULT-DRIVEN CAMPAIGN ONMENT OTHER SIDE OF THE -- >> I'M JUST SAYING FACTS ABOUT YOUR RUNNING MATE. >> YEAH. >> I KNOW YOU CAN'T DEFEND HIM. >> GOVERNOR -- DON'T PUT WORDS IN MY MOUTH THAT I'M NOT DEFENDING HIM. >> YOU'RE NOT. >> I'M HAPPY TO DEFEND HIM MOST OF WHAT YOU SAID IS COMPLETELY"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate,MSNBCW,MSNBC,SF/Oakland/SJ,cable,NBC_News_Special_2016_Vice_Presidential_Debate,"10/16/2016 01:03:46",224.7,226.9,37.2,https://archive.org/details/MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate#start/226.9/end/264.1,"MODERATOR OF TONIGHT'S DEBATE -- >> GOOD EVENING FROM LONGWOOD, UNIVERSITY IN FARM WOOD, VIRGINIA, FIRST TO THE FIRST AND OWN VICE PRESIDENTIAL DEBATE OF ON PRESIDENTIAL DEBATES I'M ELAINE KEY ANNA ANCHOR AT CBSN AND CORRESPONDENT FOR CBS NEWS IT'S AN HON FOR TO MODERATE THIS DEBATE BETWEEN SENATOR TIM KAINE AND GOVERNOR MIKE PENCE. BOTH ARE LONG TIME PUBLIC SERVANTS WHO ARE ALSO PROUD FATHERS OF SONS SERVING IN THE U.S. MARINES. THE CAMPAIGN HAVE AGREED TO THE RULES OF THIS 90-MINUTE DEBATE. THERE WILL BE NINE DIFFERENT SEGMENTS COVERING DOMESTIC AND"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate,MSNBCW,MSNBC,SF/Oakland/SJ,cable,NBC_News_Special_2016_Vice_Presidential_Debate,"10/16/2016 01:06:40",398.5,400.5,71.1,https://archive.org/details/MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate#start/400.5/end/471.6,"BEING SAFE IN THE WORLD, NOT ONLY WITH THE STRONG MILITARY BUT ALSO STRONG ALLIANCES TO BATTLE TERRORISM AND CLIMATE CHANGE. AND ALSO TO BUILD A COMMUNITY OF RESPECT JUST LIKE BARBARA JOHNS TRIED TO DO 65 YEARS AGO. THAT'S WHY I'M SO PROUD TO BE HER RUNNING MATE. HILLARY TOLD ME WHY SHE ASKED ME TO BE HER RUNNING MATE. THE TEST OF A CLINTON ADMINISTRATION WILL NOT BE THE SIGNING OF A BILL OR PASSAGE OF A BILL. IT WILL BE WHETHER WE CAN MAKE SOMEBODY'S LIFE BETTER. WHETHER WE COULD MAKE A CLASSROOM BETTER, LEARNING ENVIRONMENT FOR SCHOOL KIDS OR TEACHERS. WHETHER WE CAN MAKE A -- GOING TO BE ABOUT RESULTS SHE SAID TO ME, YOU'VE BEEN A MISSIONARY AND A CIVIL RIGHTS LAWYER, YOU'VE BEEN A CITY COUNCILMAN, LIEUTENANT GOVERNOR AND GOVERNOR NOW U.S. SENATOR, I THINK YOU WILL HELP ME FIGURE OUT HOW TO GOVERN THIS NATION SO WE CALLS KEEP IN MIND THAT THE SUCCESS OF THE ADMINISTRATION IS THE DIFFERENCE WE MAKE IN PEOPLE'S LIVES. AND THAT'S WHAT I BRING TO THE TICKET. THAT EXPERIENCE HAVING SERVED AT ALL LEVELS OF GOVERNMENT. BUT MY PRIMARY ROLE IS TO BE HILLARY CLINTON'S RIGHT HAND PERSON AND STRONG SUPPORTER AS SHE PUTS TOGETHER THE MOST HISTORIC ADMINISTRATION POSSIBLE. I RELISH THAT ROLE, I'M SO PROUD OF HER."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate,MSNBCW,MSNBC,SF/Oakland/SJ,cable,NBC_News_Special_2016_Vice_Presidential_Debate,"10/16/2016 01:08:15",493.8,495.7,73.4,https://archive.org/details/MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate#start/495.7/end/569.1,"DEEPLY HUMBLING TO BE HERE. TO BE SURROUNDED BY MY WONDERFUL FAMILY AND SENATOR KAINE, IT'S AN HON O OR TO BE HERE WITH YOU AS WELL. I JUST -- I WANTED TO SAY THANKS TO EVERYONE THAT'S LOOKING IN TONIGHT. WHO UNDERSTANDS WHAT AN ENORMOUSLY IMPORTANT TIME THIS IS IN THE LIFE OF OUR NATION. FOR THE LAST 7.A YEARS WE'VE SEEN AMERICA'S PLACE IN THE WORLD WEAKENED, WE'VE SEEN AN ECONOMY STIFLED BY MORE TAXES, MORE REGULATION, A WAR ON COAL AND FAILING HEALTH CARE REFORM COME TO BE KNOWN AT OBAMACARE. THE AMERICAN PEOPLE KNOW WE NEED TO MAKE A CHANGE. SO, I WANT TO THANK ALL OF YOU FOR BEING WITH US TONIGHT. I ALSO WANT TO THANK DONALD TRUMP FOR MAKING THAT CALL, INVITING US TO BE A PART OF THIS TICKET. I HAVE TO TELL YOU I'M A SMALL TOWN BOY FROM PLACE NOT TOO DIFFERENT FROM FARMVILLE. I GREW UP IN THE CORN FIELD WITH MY BACK YARD, MY GRANDFATHER EMIGRATED TO THIS COUNTRY WHEN HE WAS ABOUT MY SON'S AGE. MY MOM AND DAD BUILT EVERYTHING THAT MATTERS IN SMALL TOWN IN SOUTHERN INDIANA. THEY BUILT A FAMILY AND A GOOD NAME. AND A BUSINESS AND THEY RAISED A FAMILY. I DREAM SOME DAY OF REPRESENTING MY HOMETOWN IN WASHINGTON, D.C. BUT I HONESTLY, ELAINE, NEVER"
