start_second,duration,coverage_count,programs,match_url,transcript
224,38,1,MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate,https://archive.org/details/KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/224/end/262,"MODERATOR OF TONIGHT'S DEBATE -- >> GOOD EVENING FROM LONGWOOD, UNIVERSITY IN FARM WOOD, VIRGINIA, FIRST TO THE FIRST AND OWN VICE PRESIDENTIAL DEBATE OF ON PRESIDENTIAL DEBATES I'M ELAINE KEY ANNA ANCHOR AT CBSN AND CORRESPONDENT FOR CBS NEWS IT'S AN HON FOR TO MODERATE THIS DEBATE BETWEEN SENATOR TIM KAINE AND GOVERNOR MIKE PENCE. BOTH ARE LONG TIME PUBLIC SERVANTS WHO ARE ALSO PROUD FATHERS OF SONS SERVING IN THE U.S. MARINES. THE CAMPAIGN HAVE AGREED TO THE RULES OF THIS 90-MINUTE DEBATE. THERE WILL BE NINE DIFFERENT SEGMENTS COVERING DOMESTIC AND FOREIGN POLICY ISSUES."
398,11,1,MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate,https://archive.org/details/KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/398/end/409,"BEING SAFE IN THE WORLD, NOT ONLY WITH THE STRONG MILITARY BUT ALSO STRONG ALLIANCES TO BATTLE TERRORISM AND CLIMATE CHANGE. AND ALSO TO BUILD A COMMUNITY OF RESPECT JUST LIKE BARBARA JOHNS"
409,11,2,"MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate, FBC_20161005_100000_Mornings_With_Maria_Bartiromo",https://archive.org/details/KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/409/end/420,"RESPECT JUST LIKE BARBARA JOHNS TRIED TO DO 65 YEARS AGO. THAT'S WHY I'M SO PROUD TO BE HER RUNNING MATE. HILLARY TOLD ME WHY SHE ASKED ME TO BE HER RUNNING MATE. THE TEST OF A CLINTON ADMINISTRATION WILL NOT BE THE"
420,34,1,MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate,https://archive.org/details/KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/420/end/454,"SIGNING OF A BILL OR PASSAGE OF A BILL. IT WILL BE WHETHER WE CAN MAKE SOMEBODY'S LIFE BETTER. WHETHER WE COULD MAKE A CLASSROOM BETTER, LEARNING ENVIRONMENT FOR SCHOOL KIDS OR TEACHERS. WHETHER WE CAN MAKE A -- GOING TO BE ABOUT RESULTS SHE SAID TO ME, YOU'VE BEEN A MISSIONARY AND A CIVIL RIGHTS LAWYER, YOU'VE BEEN A CITY COUNCILMAN, LIEUTENANT GOVERNOR AND GOVERNOR NOW U.S. SENATOR, I THINK YOU WILL HELP ME FIGURE OUT HOW TO GOVERN THIS NATION SO WE CALLS KEEP IN MIND THAT THE SUCCESS OF THE ADMINISTRATION IS THE DIFFERENCE WE MAKE IN PEOPLE'S LIVES. AND THAT'S WHAT I BRING TO THE"
454,1,2,"MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate, FOXNEWSW_20161005_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum",https://archive.org/details/KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/454/end/455,TICKET.
455,8,3,"MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate, FOXNEWSW_20161005_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum, FOXNEWSW_20161005_100000_FOX__Friends",https://archive.org/details/KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/455/end/463,"TICKET. THAT EXPERIENCE HAVING SERVED AT ALL LEVELS OF GOVERNMENT. BUT MY PRIMARY ROLE IS TO BE HILLARY CLINTON'S RIGHT HAND PERSON AND STRONG SUPPORTER AS"
463,1,2,"MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate, FOXNEWSW_20161005_130000_Americas_Newsroom_With_Bill_Hemmer_and_Martha_MacCallum",https://archive.org/details/KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/463/end/464,"SHE PUTS TOGETHER THE MOST"
464,2,1,MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate,https://archive.org/details/KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/464/end/466,"SHE PUTS TOGETHER THE MOST HISTORIC ADMINISTRATION"
466,2,9,"MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate, CNNW_20161005_160000_Inside_Politics, BLOOMBERG_20161005_140000_Bloomberg_Markets, BLOOMBERG_20161005_063000_On_the_Move, BLOOMBERG_20161005_110000_Bloomberg_Go, BLOOMBERG_20161005_030000_Asia_Edge, BLOOMBERG_20161005_050000_Countdown, BLOOMBERG_20161005_050000_Countdown, CNNW_20161005_120000_New_Day",https://archive.org/details/KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/466/end/468,"HISTORIC ADMINISTRATION POSSIBLE. I RELISH THAT ROLE, I'M SO PROUD OF HER."
468,1,15,"MSNBCW_20161005_010000_NBC_News_Special_2016_Vice_Presidential_Debate, CNNW_20161005_160000_Inside_Politics, BLOOMBERG_20161005_140000_Bloomberg_Markets, BLOOMBERG_20161005_063000_On_the_Move, BLOOMBERG_20161005_110000_Bloomberg_Go, BLOOMBERG_20161005_030000_Asia_Edge, BLOOMBERG_20161005_050000_Countdown, BLOOMBERG_20161005_050000_Countdown, CNNW_20161005_120000_New_Day, CNNW_20161005_130000_CNN_Newsroom_With_Carol_Costello, BLOOMBERG_20161005_160000_Bloomberg_Markets, CNNW_20161005_110000_New_Day, BLOOMBERG_20161005_080000_The_Pulse, CNNW_20161005_220000_Situation_Room_With_Wolf_Blitzer, CNNW_20161005_100000_New_Day",https://archive.org/details/KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report#start/468/end/469,"OF HER."
