debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WTXF_20161005_090000_Fox_Morning_News_at_5A,WTXF,FOX,Philadelphia,local,Fox_Morning_News_at_5A,"10/16/2016 09:34:59",297.4,2099.4,3.7,https://archive.org/details/WTXF_20161005_090000_Fox_Morning_News_at_5A#start/2099.4/end/2103.1,
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WTXF_20161005_090000_Fox_Morning_News_at_5A,WTXF,FOX,Philadelphia,local,Fox_Morning_News_at_5A,"10/16/2016 09:05:54",838.5,354,5,https://archive.org/details/WTXF_20161005_090000_Fox_Morning_News_at_5A#start/354/end/359,"CONTRIBUTIONS FROM FOREIGN GOVERNMENTS -- >> YOU AND DONALD TRUMP --"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WTXF_20161005_090000_Fox_Morning_News_at_5A,WTXF,FOX,Philadelphia,local,Fox_Morning_News_at_5A,"10/16/2016 09:06:22",1418.9,382.6,4,https://archive.org/details/WTXF_20161005_090000_Fox_Morning_News_at_5A#start/382.6/end/386.6,"ABOUT BUSINESS THING. IS -- >> I DO WANT TO COME BACK TO THAT."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WTXF_20161005_090000_Fox_Morning_News_at_5A,WTXF,FOX,Philadelphia,local,Fox_Morning_News_at_5A,"10/16/2016 10:00:47",1524.1,3647.7,2.2,https://archive.org/details/WTXF_20161005_090000_Fox_Morning_News_at_5A#start/3647.7/end/3649.9,"RETURNS WHEN HE WAS --"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WTXF_20161005_090000_Fox_Morning_News_at_5A,WTXF,FOX,Philadelphia,local,Fox_Morning_News_at_5A,"10/16/2016 09:06:34",2435.7,394,7.6,https://archive.org/details/WTXF_20161005_090000_Fox_Morning_News_at_5A#start/394/end/401.6,"ILLEGAL IMMIGRATION ONCE AND FOR ALL. SO, SENATOR, THIS INSULT-DRIVEN CAMPAIGN -- >> GOVERNOR --"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KSNV_20161005_130000_News_3_Live_Today,KSNV,NBC,"Las Vegas",local,News_3_Live_Today,"10/16/2016 13:02:07",2440.1,127.5,3.6,https://archive.org/details/KSNV_20161005_130000_News_3_Live_Today#start/127.5/end/131.1,"CAMPAIGN -- >> GOVERNOR --"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KSNV_20161005_130000_News_3_Live_Today,KSNV,NBC,"Las Vegas",local,News_3_Live_Today,"10/16/2016 13:01:52",3457.1,112.3,6.1,https://archive.org/details/KSNV_20161005_130000_News_3_Live_Today#start/112.3/end/118.4,"INVESTIGATION CONCLUDED -- >> WE ARE MOVING ON NOW."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KSNV_20161005_130000_News_3_Live_Today,KSNV,NBC,"Las Vegas",local,News_3_Live_Today,"10/16/2016 13:48:37",3457.7,2917.9,5,https://archive.org/details/KSNV_20161005_130000_News_3_Live_Today#start/2917.9/end/2922.9,"INVESTIGATION CONCLUDED -- >> WE ARE MOVING ON NOW."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KSNV_20161005_130000_News_3_Live_Today,KSNV,NBC,"Las Vegas",local,News_3_Live_Today,"10/16/2016 13:02:15",4080.5,135.3,2.3,https://archive.org/details/KSNV_20161005_130000_News_3_Live_Today#start/135.3/end/137.6,"IS -- I WILL GIVE YOU AN"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KSNV_20161005_130000_News_3_Live_Today,KSNV,NBC,"Las Vegas",local,News_3_Live_Today,"10/16/2016 13:02:28",5198.5,148.7,4.9,https://archive.org/details/KSNV_20161005_130000_News_3_Live_Today#start/148.7/end/153.6,"ADOPTION. WHAT I CAN'T UNDERSTAND IS WITH HILLARY CLINTON NOW SENATOR"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KSNV_20161005_130000_News_3_Live_Today,KSNV,NBC,"Las Vegas",local,News_3_Live_Today,"10/16/2016 13:02:35",5466.7,155.8,2.5,https://archive.org/details/KSNV_20161005_130000_News_3_Live_Today#start/155.8/end/158.3,"COULD IMPROVE OPTIONS TO FAMILIES THAT CAN'T HAVE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WBZ_20161005_100000_WBZ_This_Morning,WBZ,CBS,Boston,local,WBZ_This_Morning,"10/16/2016 10:48:49",1471.1,2929.6,13.1,https://archive.org/details/WBZ_20161005_100000_WBZ_This_Morning#start/2929.6/end/2942.7,"HAVEN'T IS BEEN PAYING TAXES HE SAID ""THAT MAKES ME SMART. IT'S SMART NOT TO PAY FOR OUR MILITARY. IS SMART NOT TO PAY FOR VETERANS. SMART NOT NO PAY FOR TEACHERS. I GUESS ALL OF US WHO DO PAY THOSE THINGS I GUESS WE'RE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WBZ_20161005_100000_WBZ_This_Morning,WBZ,CBS,Boston,local,WBZ_This_Morning,"10/16/2016 10:07:30",2397.3,450.1,9.4,https://archive.org/details/WBZ_20161005_100000_WBZ_This_Morning#start/450.1/end/459.5,"OURS IS AN INSULT-DRIVEN CAMPAIGN? TO BE HONEST WITH YOU IF DONALD TRUMP SAID ALL THE THINGS THAT YOU SAID HE SAID IN THE WAY YOU SAID HE SAID THEM, HE STILL"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WBZ_20161005_100000_WBZ_This_Morning,WBZ,CBS,Boston,local,WBZ_This_Morning,"10/16/2016 10:36:56",2440.1,2216.6,3.6,https://archive.org/details/WBZ_20161005_100000_WBZ_This_Morning#start/2216.6/end/2220.2,"CAMPAIGN -- >> GOVERNOR --"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WBZ_20161005_100000_WBZ_This_Morning,WBZ,CBS,Boston,local,WBZ_This_Morning,"10/16/2016 10:07:01",3466.2,421.7,6.5,https://archive.org/details/WBZ_20161005_100000_WBZ_This_Morning#start/421.7/end/428.2,"KNEE. >> YOU KNEE -- GENTLEMEN, PLEASE! >> DID AN INVESTIGATION."
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,WBZ_20161005_100000_WBZ_This_Morning,WBZ,CBS,Boston,local,WBZ_This_Morning,"10/16/2016 10:07:15",3787,435.1,4.2,https://archive.org/details/WBZ_20161005_100000_WBZ_This_Morning#start/435.1/end/439.3,"SAFE ZONE SPECIFICALLY? HOW WOULD YOU KEEP IT SAFE? >> FIRST AND FOREMOST DONALD"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,KMGH_20161005_120000_7_News_Now_at_6_AM,KMGH,ABC,Denver,local,7_News_Now_at_6_AM,"10/16/2016 12:08:32",5379.3,512.3,25.8,https://archive.org/details/KMGH_20161005_120000_7_News_Now_at_6_AM#start/512.3/end/538.1,"SPEAKS. WHEN DONALD TRUMP SAYS WOMEN SHOULD BE PUNISHED OR MEXICANS ARE RAPISTS AND CRIMINALS OR JOHN McCAIN NOT HERO HE IS SHOWING YOU WHO HE IS. >> SENATOR, YOU RIPPED OUT THAT MEXICAN THING AGAIN. LOOK -- >> CAN YOU DEFEND IT? >> THERE ARE CRIMINAL AILLYIANS IN THIS COUNTRY, TIM, WHO HAVE COME INTO THIS COUNTRY ILLEGALLY WHO ARE PERPETRATING -- >> YOU WANT TO USE A BIG BROAD"
