debate_media,coverage_media,channel,network,location,channel_type,program,coverage_time_utc,debate_start_second,coverage_start_second,duration,match_url,transcript
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161005_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/16/2016 03:42:23",766.9,4343.5,12.8,https://archive.org/details/CNNW_20161005_023000_Debate_Night_in_America#start/4343.5/end/4356.3,"UKRAINE OR -- >> YOU -- HANDED APPROACH -- YOU SAID VLADIMIR PUTIN -- WE'LL GET TO RUSH IN A MOMENT. I DO WANT TO BET BACK TO THE --"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161005_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/16/2016 04:29:02",853.7,7142.2,3.9,https://archive.org/details/CNNW_20161005_023000_Debate_Night_in_America#start/7142.2/end/7146.1,"FINISH MY SENTENCE IF I CAN. THE CLINTON FOUNDATION ACCEPTED"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161005_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/16/2016 04:03:46",926,5626.6,13.9,https://archive.org/details/CNNW_20161005_023000_Debate_Night_in_America#start/5626.6/end/5640.5,">> IRAQ HAS BEEN OVER RUN BY ISIS. BECAUSE HILLARY CLINTON -- >> IF YOU WANT TO -- -- HILLARY CLINTON -- >> FAILED TO RENEGOTIATE A STATUS OF FORCES AGREEMENT. >> THAT IS INJECT GENTLEMEN --"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161005_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/16/2016 04:27:50",1208.9,7070.2,6.8,https://archive.org/details/CNNW_20161005_023000_Debate_Night_in_America#start/7070.2/end/7077,"PLAN. IT'S A ""YOU'RE FIRED"" PLAN THERE'S TWO KEY ELEMENTS TO IT. FIRST, DONALD TRUMP SAID WAGES"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161005_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/16/2016 03:52:43",1505.3,4963.9,5.3,https://archive.org/details/CNNW_20161005_023000_Debate_Night_in_America#start/4963.9/end/4969.2,">> YOU GET VERY LITTLE TIME. >> I'LL BE -- DONALD TRUMP HAS"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161005_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/16/2016 04:02:35",1593.2,5555.8,5.7,https://archive.org/details/CNNW_20161005_023000_Debate_Night_in_America#start/5555.8/end/5561.5,"RISKY SCHEME TO PRIVATIZE SOCIAL SECURITY. DONALD TRUMP WROTE A BOOK HE"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161005_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/16/2016 03:44:53",2394,4493,17,https://archive.org/details/CNNW_20161005_023000_Debate_Night_in_America#start/4493/end/4510,"CAMPAIGN? DID YOU ALL JUST HEAR THAT? OURS IS AN INSULT-DRIVEN CAMPAIGN? TO BE HONEST WITH YOU IF DONALD TRUMP SAID ALL THE THINGS THAT YOU SAID HE SAID IN THE WAY YOU SAID HE SAID THEM, HE STILL WOULDN'T HAVE A FRACTION OF THE INSULTS THAT HILLARY CLINTON"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161005_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/16/2016 04:16:48",2878.8,6408.2,45,https://archive.org/details/CNNW_20161005_023000_Debate_Night_in_America#start/6408.2/end/6453.2,"BIG. THIRD, HE LOVES DICTATORS. A PERSONAL MOUNT RUSH MORE, VLADIMIR PUTIN, MOAMMAR GENTLEMAN DAVE DEAND SADDAM HUSSEIN. DONALD TRUMP BELIEVES THAT THE WORLD WILL BE SAFER IF MORE NATIONS HAVE NUCLEAR WEAPONS. HE SAID, SAUDI ARABIA SHOULD GET THEM. JAPAN SHOULD GET THEM. KOREA SHOULD GET THEM. WHEN HE WAS CONFRONTED WITH THIS TOLD, WAIT A MINUTE, TERRORISTS CAN GET THOSE. PROLIFERATION CAN LEAD TO NUCLEAR WAR, HE SAID, I QUOTE, GO AHEAD, FOLKS, ENJOY YOURSELVES. I'D LOVE TO HEAR GOVERNOR PENCE TELL ME WITH IS SO ENJOYABLE OR COMICAL ABOUT NUCLEAR WAR. >> GOVERNOR PENCE? >> DID YOU WORK ON THAT ONE A"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161005_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/16/2016 03:43:57",3179,4437.9,12.2,https://archive.org/details/CNNW_20161005_023000_Debate_Night_in_America#start/4437.9/end/4450.1,"REFUGEE ISSUES. AND ON IMMIGRATION. WE WANT TO DO ENFORCEMENT BASED ON ARE PEOPLE DANGEROUS. THEY SAY ALL MEXICANS ARE BAD. WITH RESPECT TO REFUGEES, WE WANT TO KEEP PEOPLE OUT IF THEY'RE DANGEROUS. DONALD TRUMP SAID KEEP THEM OUT"
KQED_20161005_010000_PBS_NewsHour_Debates_2016_A_Special_Report,CNNW_20161005_023000_Debate_Night_in_America,CNNW,CNN,SF/Oakland/SJ,cable,Debate_Night_in_America,"10/16/2016 02:56:28",4053.2,1588.8,17.1,https://archive.org/details/CNNW_20161005_023000_Debate_Night_in_America#start/1588.8/end/1605.9,"PAYMENT -- >> SIX TIMES TONIGHT I HAVE SAID TO GOVERNOR PENCE I CAN'T IMAGINE HOW YOU CAN DEFEND YOUR RUNNING MATE'S POSITION ON ONE ISSUE AFTER THE NEXT. IN ALL SIX CASES HE'S REFUSED TO DEFEND -- >> DON'T PUT WORDS IN MY MOUTH."
